entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
Middle,EP−H,Past100,RS,true_nll,4.835128784179688e-06,-7.796287536621085e-08,9.551405906677245e-06,2000,100,100,0,0,NLL,True,0
Middle,EP−R,Current100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,EP−R,Current100,NS,new_nll,2.1517276763916005e-08,-5.394373089075089e-07,5.216518417000771e-07,2000,100,1000,0,0,NLL,True,0
Middle,EP−R,Current100,NS,true_nll,-3.713760524988174e-07,-8.64516943693161e-07,1.6404073685407627e-07,2000,100,1000,0,0,NLL,True,0
Middle,EP−R,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,EP−R,Current100,PS,new_nll,-1.0792934335768222e-06,-2.6323462079744786e-06,1.8878921400755542e-07,2000,100,200,0,0,NLL,True,0
Middle,EP−R,Current100,PS,true_nll,7.152557373046875e-07,-1.068323850631714e-06,2.7219653129577612e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−R,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,EP−R,Current100,RS,new_nll,-1.3408192899078132e-07,-3.669714496936649e-07,-8.831266313791282e-09,2000,100,100,0,0,NLL,True,0
Middle,EP−R,Current100,RS,true_nll,5.8746337890625e-06,2.1456480026245116e-06,9.866118431091308e-06,2000,100,100,0,0,NLL,True,0
Middle,EP−R,Fixed100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,EP−R,Fixed100,NS,new_nll,6.083091720938682e-07,3.0195573344826817e-09,1.2137741548940536e-06,2000,100,1000,0,0,NLL,True,0
Middle,EP−R,Fixed100,NS,true_nll,1.213592477142811e-07,-3.6010097246617086e-07,5.864875507540999e-07,2000,100,1000,0,0,NLL,True,0
Middle,EP−R,Fixed100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,EP−R,Fixed100,PS,new_nll,7.958803325891495e-07,-4.6944071073085066e-08,1.6606804565526533e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−R,Fixed100,PS,true_nll,8.919835090637207e-07,-3.769472241401672e-07,2.28951871395111e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−R,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,EP−R,Fixed100,RS,new_nll,-1.0746298357844353e-07,-1.0594298655632883e-06,6.771135667804629e-07,2000,100,100,0,0,NLL,True,0
Middle,EP−R,Fixed100,RS,true_nll,-7.510185241699219e-08,-3.17952036857605e-06,3.030329942703247e-06,2000,100,100,0,0,NLL,True,0
Middle,EP−R,Past100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,EP−R,Past100,NS,new_nll,4.956340417265891e-07,-1.2874884996563208e-07,1.1193767422810196e-06,2000,100,1000,0,0,NLL,True,0
Middle,EP−R,Past100,NS,true_nll,2.00372189283371e-07,-4.0480587631464013e-07,7.636126130819311e-07,2000,100,1000,0,0,NLL,True,0
Middle,EP−R,Past100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,EP−R,Past100,PS,new_nll,-4.7294015530496835e-08,-7.438666725647636e-07,7.0012456853874e-07,2000,100,200,0,0,NLL,True,0
Middle,EP−R,Past100,PS,true_nll,5.263090133666992e-07,-1.0544210672378542e-06,2.0489990711212137e-06,2000,100,200,0,0,NLL,True,0
Middle,EP−R,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,EP−R,Past100,RS,new_nll,2.9042130336165428e-08,-1.0846028453670442e-07,1.5765850548632442e-07,2000,100,100,0,0,NLL,True,0
Middle,EP−R,Past100,RS,true_nll,1.6641616821289064e-06,-1.4878511428833008e-06,4.744529724121093e-06,2000,100,100,0,0,NLL,True,0
Middle,H−N,Current100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,H−N,Current100,NS,new_nll,-0.0028876198865473274,-0.00984530825195834,0.0010875586027279493,2000,100,1000,0,0,NLL,True,0
Middle,H−N,Current100,NS,true_nll,0.00011941886693239234,-0.0017819298557937143,0.0027011176081374265,2000,100,1000,0,0,NLL,True,0
Middle,H−N,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
Middle,H−N,Current100,PS,new_nll,-0.02720263710740255,-0.06043446733722521,-0.003962947472660755,2000,100,200,0,0,NLL,True,0
Middle,H−N,Current100,PS,true_nll,0.03832151770591736,0.0174857157766819,0.06589000573754308,2000,100,200,0,0,NLL,True,0
Middle,H−N,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
Middle,H−N,Current100,RS,new_nll,-0.01878072120955039,-0.05424158332871048,-0.0004382004861017783,2000,100,100,0,0,NLL,True,0
Middle,H−N,Current100,RS,true_nll,0.1265895414352417,0.06170901250839233,0.20748754572868344,2000,100,100,0,0,NLL,True,0
Middle,H−N,Fixed100,NS,success,0.0,0.0,0.0,2000,100,1000,0,0,pp,True,0
Middle,H−N,Fixed100,NS,new_nll,0.0009341710666194559,0.0001645275879418477,0.0017736840955913066,2000,100,1000,0,0,NLL,True,0
Middle,H−N,Fixed100,NS,true_nll,0.0005395982661284506,-0.0004910939577850513,0.0015419989973888724,2000,100,1000,0,0,NLL,True,0
Middle,H−N,Fixed100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
