policy,batch,population,metric,group,field,unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
N4,51,historical,NS,SUPERSEDED,desired_margin,REQUEST_CLUSTER_MEAN,4,3.12944501042366,0.5110089302062989,-0.6857629656791686,4.326216906309128,5.011979871988297,10.372927830219272,12.388498138189311,14.00095438456535,-2.9083062648773192,14.404068446159362
N4,51,historical,NS,UNKNOWN_RELATION,new_nll,PROMPT,0,,,,,,,,,,
N4,51,historical,NS,UNKNOWN_RELATION,new_nll,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,NS,UNKNOWN_RELATION,true_nll,PROMPT,0,,,,,,,,,,
N4,51,historical,NS,UNKNOWN_RELATION,true_nll,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,51,historical,NS,UNKNOWN_RELATION,desired_margin,PROMPT,0,,,,,,,,,,
N4,51,historical,NS,UNKNOWN_RELATION,desired_margin,REQUEST_CLUSTER_MEAN,0,,,,,,,,,,
N4,52,current,RS,ALL,new_nll,PROMPT,100,0.004704153956990922,0.001813732844311744,0.0009094508131965995,0.00353925209492445,0.0026298012817278504,0.006095425179228198,0.00932198418304324,0.07005919173359909,0.00015043080202303827,0.142720565199852
N4,52,current,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,0.004704153956990922,0.001813732844311744,0.0009094508131965995,0.00353925209492445,0.0026298012817278504,0.006095425179228198,0.00932198418304324,0.07005919173359909,0.00015043080202303827,0.142720565199852
N4,52,current,RS,ALL,true_nll,PROMPT,100,13.401376454830169,13.07702922821045,10.891815423965454,15.33865475654602,4.446839332580566,18.190871810913087,19.147009181976316,21.714015197753906,3.8866751194000244,21.786638259887695
N4,52,current,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,13.401376454830169,13.07702922821045,10.891815423965454,15.33865475654602,4.446839332580566,18.190871810913087,19.147009181976316,21.714015197753906,3.8866751194000244,21.786638259887695
N4,52,current,RS,ALL,desired_margin,PROMPT,100,13.39667230087318,13.070992686436512,10.886729081976227,15.33550070443016,4.448771622453933,18.189087650517468,19.14521516257664,21.713817516877025,3.7439545542001724,21.78176282159984
N4,52,current,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,13.39667230087318,13.070992686436512,10.886729081976227,15.33550070443016,4.448771622453933,18.189087650517468,19.14521516257664,21.713817516877025,3.7439545542001724,21.78176282159984
N4,52,current,PS,ALL,new_nll,PROMPT,200,1.3223414267522458,0.22036653012037277,0.03329114802181721,1.8851056694984436,1.8518145214766264,4.313371801376342,6.0219201087951655,8.699961729049676,0.00043096792069263756,9.723715782165527
N4,52,current,PS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,1.3223414267522458,0.7090500333579257,0.10186081752181053,2.1069435767713003,2.0050827592494898,3.4418141797184947,4.39951986670494,5.769574643969543,0.002090260182740167,7.193257570266724
N4,52,current,PS,ALL,true_nll,PROMPT,200,9.488316826820373,9.359945297241211,7.153239011764526,11.566789150238037,4.413550138473511,14.722030639648438,16.32528266906738,17.909033031463615,1.7841432094573975,19.19550895690918
N4,52,current,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,9.488316826820373,8.920631885528564,7.168662786483765,11.29985785484314,4.131195068359375,15.050849103927613,15.515074491500854,17.172589559555057,3.3442461490631104,17.673763275146484
N4,52,current,PS,ALL,desired_margin,PROMPT,200,8.165975400068127,7.9899445325136185,5.532378606498241,10.87041434715502,5.338035740656778,13.679506843816489,15.636462843391923,17.863969188143663,-3.948651075363159,19.190731867216527
N4,52,current,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,8.165975400068127,7.76412146538496,5.57770337886177,10.63679460901767,5.0590912301559,13.321561440752703,15.194741930847522,17.169335232667947,-0.6890778541564941,17.671354567966773
N4,52,current,NS,ALL,new_nll,PROMPT,1000,7.918409946474712,7.943098068237305,5.467370510101318,10.268005609512329,4.800635099411011,12.544181537628173,13.793864107131956,16.713523883819576,0.004200564697384834,20.213375091552734
N4,52,current,NS,ALL,new_nll,REQUEST_CLUSTER_MEAN,100,7.918409946474712,8.119992184638978,6.020041453838348,9.817735469341278,3.7976940155029295,11.401606116294863,11.9232323884964,13.240140229225164,1.9746586371213197,13.870869541168213
N4,52,current,NS,ALL,true_nll,PROMPT,1000,5.373412646477111,5.010446548461914,2.485344171524048,7.755359411239624,5.270015239715576,10.12811040878296,11.503452920913693,14.981434516906738,0.0058114612475037575,20.296728134155273
N4,52,current,NS,ALL,true_nll,REQUEST_CLUSTER_MEAN,100,5.373412646477111,5.072780644893646,3.8200851369649174,6.8445475697517395,3.024462432786822,8.568291914463044,9.380999007225036,9.907738227367412,1.2102788638323545,12.097534990310669
N4,52,current,NS,ALL,desired_margin,PROMPT,1000,2.544997299997602,2.6156795024871826,-0.20018279552459717,5.333519548177719,5.533702343702316,8.050611302256586,9.756124967336651,13.366754823029039,-12.727241426706314,16.781056880950928
N4,52,current,NS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,100,2.544997299997602,2.2937334418296813,0.5169715702533721,4.7728556483984,4.255884078145027,6.688710254495964,8.787263724207877,10.306248850584032,-7.459149928018451,10.6351852953434
N4,52,historical,RS,ALL,new_nll,PROMPT,128,0.2354775626126866,0.0025906352093443274,0.0010938021296169609,0.008018214954063296,0.0069244128244463354,0.10074982866644845,0.6013380318880073,6.772548173666028,8.332382276421413e-05,13.980667114257812
N4,52,historical,RS,ALL,new_nll,REQUEST_CLUSTER_MEAN,128,0.2354775626126866,0.0025906352093443274,0.0010938021296169609,0.008018214954063296,0.0069244128244463354,0.10074982866644845,0.6013380318880073,6.772548173666028,8.332382276421413e-05,13.980667114257812
N4,52,historical,RS,ALL,true_nll,PROMPT,128,12.750226449221373,12.200150966644287,10.042582273483276,15.325176000595093,5.282593727111816,17.44087028503418,18.57186841964721,22.112884311676027,4.158878326416016,23.378799438476562
N4,52,historical,RS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,12.750226449221373,12.200150966644287,10.042582273483276,15.325176000595093,5.282593727111816,17.44087028503418,18.57186841964721,22.112884311676027,4.158878326416016,23.378799438476562
N4,52,historical,RS,ALL,desired_margin,PROMPT,128,12.514748886608686,12.171973716758657,9.734749216004275,15.232189245798509,5.497440029794234,17.439881046899245,18.483658674790053,22.11244211240599,2.4304933547973633,23.373900986276567
N4,52,historical,RS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,12.514748886608686,12.171973716758657,9.734749216004275,15.232189245798509,5.497440029794234,17.439881046899245,18.483658674790053,22.11244211240599,2.4304933547973633,23.373900986276567
N4,52,historical,RS,ACTIVE_TARGET,new_nll,PROMPT,124,0.10631840684800409,0.002540279645472765,0.0010507246770430356,0.00681463023647666,0.005763905559433624,0.021951218880712987,0.2167326405644412,1.0365321874618516,8.332382276421413e-05,8.629201889038086
N4,52,historical,RS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN,124,0.10631840684800409,0.002540279645472765,0.0010507246770430356,0.00681463023647666,0.005763905559433624,0.021951218880712987,0.2167326405644412,1.0365321874618516,8.332382276421413e-05,8.629201889038086
N4,52,historical,RS,ACTIVE_TARGET,true_nll,PROMPT,124,12.848331586007149,12.255084037780762,10.143784761428833,15.325176000595093,5.18139123916626,17.469907760620117,18.737126827239987,22.12089464187622,5.013340950012207,23.378799438476562
N4,52,historical,RS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN,124,12.848331586007149,12.255084037780762,10.143784761428833,15.325176000595093,5.18139123916626,17.469907760620117,18.737126827239987,22.12089464187622,5.013340950012207,23.378799438476562
N4,52,historical,RS,ACTIVE_TARGET,desired_margin,PROMPT,124,12.742013179159144,12.249864199431613,10.005300122778863,15.323273958318168,5.317973835539306,17.468173050045152,18.62199969097273,22.120489063627172,2.4304933547973633,23.373900986276567
N4,52,historical,RS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN,124,12.742013179159144,12.249864199431613,10.005300122778863,15.323273958318168,5.317973835539306,17.468173050045152,18.62199969097273,22.120489063627172,2.4304933547973633,23.373900986276567
N4,52,historical,RS,SUPERSEDED,new_nll,PROMPT,4,4.239411391317844,1.3434593081474304,0.7731739357113838,4.809696763753891,4.036522828042507,10.312278974056246,12.146473044157023,13.613828300237653,0.2900598347187042,13.980667114257812
N4,52,historical,RS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN,4,4.239411391317844,1.3434593081474304,0.7731739357113838,4.809696763753891,4.036522828042507,10.312278974056246,12.146473044157023,13.613828300237653,0.2900598347187042,13.980667114257812
N4,52,historical,RS,SUPERSEDED,true_nll,PROMPT,4,9.708967208862305,8.880010604858398,7.459590435028076,11.129387378692627,3.669796943664551,14.601936531066896,15.759452915191648,16.685466022491454,4.158878326416016,16.916969299316406
N4,52,historical,RS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN,4,9.708967208862305,8.880010604858398,7.459590435028076,11.129387378692627,3.669796943664551,14.601936531066896,15.759452915191648,16.685466022491454,4.158878326416016,16.916969299316406
