policy,cohort_batch,metric,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,4,PS,200,100,188,0.94,0,90,2b4bf02a8687d51ad04c7de5b7ff9f90d5f78be46fd9f2dd452b8e4a418d0656,afc2f1e4e09479fb03d67ba0758d7d91677429fb670a613f3fd677a0e33437e7,136,0.68,49,0.49,138,202,0.6831683168316832,2,0.01,0,0.0,2,200,0.01
N4,5,PS,200,100,195,0.975,0,95,ad48772b9c799639c92dc79726ed43f5b42a4c014b8fda7b713d27e604b46ea5,27d8e6001f3c0e20d0810cbc130d01d28ec30c9d9042dbf45dc41b46e7ec6e55,121,0.605,44,0.44,123,202,0.6089108910891089,1,0.005,0,0.0,1,200,0.005
N4,6,PS,200,100,193,0.965,0,93,789943eb3f33813bc5227f06f63b07c4422cbb67a1d7cd294265ddd4dfa791d7,5c6632bbffba7e9fe65cf659e43fa2de396ee338b66cfd1b7a5b0de3d2688c4b,108,0.54,35,0.35,115,208,0.5528846153846154,1,0.005,0,0.0,5,204,0.024509803921568627
N4,7,PS,200,100,192,0.96,0,94,59be3257873bbeea29880747f0ab2015a8b25540c5b7b8c94b5bf2b1c758b860,a01c87400b9354853d1ea7950bd2444d08cec6196c20606054da859c8aff3c25,146,0.73,58,0.58,148,202,0.7326732673267327,2,0.01,0,0.0,4,202,0.019801980198019802
N4,8,PS,200,100,192,0.96,0,94,435466c744612dd01f14335ea02d7e2460e7e4332fdfcec020b08da505333f65,6f1ff297fda4879a4556fecd6d76e07fca0ad1da6029402eb3ab6001fc6a8632,122,0.61,44,0.44,126,204,0.6176470588235294,1,0.005,0,0.0,1,200,0.005
N4,9,PS,200,100,192,0.96,0,94,589d21797da49093b4f8acab964eb83ddc008db029e74b3d9003bfcd00005743,6db8bde800c1f8d3eb6ebfb3e7194fd4cb1dbe054bc247acb1294133ddc760ac,138,0.69,51,0.51,138,200,0.69,4,0.02,1,0.01,6,202,0.0297029702970297
N4,10,PS,200,100,186,0.93,0,89,a4b54a71086efb06a2dfe300af353160653c5835da4f0b8bafbdd26065ec2a19,056ef255ca3378964d1a7acefeca190e667078e99c25e1d4e2cca0d76f76975b,129,0.645,47,0.47,131,202,0.6485148514851485,4,0.02,1,0.01,4,200,0.02
N4,11,PS,200,100,193,0.965,0,94,fc2c803f7b83fb62b02ec3253850b4018e91c855873505e3bf5483932f700efb,eb8ae1844995d9e4efb72b5e2184e92db82726d7e49b98f58d96c4f545b72d40,127,0.635,48,0.48,129,202,0.6386138613861386,0,0.0,0,0.0,5,206,0.024271844660194174
N4,12,PS,200,100,195,0.975,0,97,5433be3e27834169a7a5fcc227cfe2a0dcb97aabacf3dab83872166a1072b486,4c3954bee4f0dcf14ad09b8b8052ebbe0e5c7cad85a2aa339282528be3306df4,142,0.71,57,0.57,150,208,0.7211538461538461,0,0.0,0,0.0,8,208,0.038461538461538464
N4,13,PS,200,100,188,0.94,0,90,73b92251a7f74fd1505dd868d96e3c776554972772770ddf3665e3a606c4905a,0ad2875ea4105104e169c9de3bd1809169d89e9758f7e3f2fdddc0b99ffdf811,146,0.73,61,0.61,146,200,0.73,1,0.005,0,0.0,7,206,0.03398058252427184
N4,14,PS,200,100,187,0.935,0,90,3a3af062bc9e26fedf2b025f2c06382b7bd9fcfc1774ffa6748ffde07eab938b,dc42fda4ca7a50d141059a8c29704a4a6ea1179f960610a7e3d1c84b4da3e201,130,0.65,51,0.51,130,200,0.65,0,0.0,0,0.0,1,202,0.0049504950495049506
N4,15,PS,200,100,198,0.99,0,98,250a14c3f26cb4b96c62a011aa9c0362a917f4c518eae0cc1d69fefd7284bd34,ede4faf6433996100d787395b42f28ffdbba1643b0413ca39ee2227468e0fcf5,132,0.66,49,0.49,136,204,0.6666666666666666,0,0.0,0,0.0,1,202,0.0049504950495049506
