before,after,population,group,metric,d,delta,delta_pp,lost,gained,strict_delta,desired_NLL_mean,desired_NLL_p95,desired_NLL_p99,competing_NLL_mean
N4,REFIT4,suffix,ALL,RS,1000,-1,-0.1,1,0,5,-0.009800966371085452,0.03899252288392745,0.10076007250230759,-0.8593892161846161
N4,REFIT4,suffix,ACTIVE_TARGET,RS,994,0,0.0,0,0,4,-0.009946174444561716,0.038883927091956136,0.0887292487919327,-0.8764164548524669
N4,REFIT4,suffix,SUPERSEDED,RS,6,-1,-16.666666666666668,1,0,1,0.014255171134815706,2.196539144963026,2.638520856946707,1.9614566564559937
N4,REFIT4,suffix,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
N4,REFIT4,suffix,ALL,PS,2000,12,0.6,19,31,-18,0.0022225544643442847,1.4799915134906745,3.1809735345840453,-0.5421713340356946
N4,REFIT4,suffix,ACTIVE_TARGET,PS,1988,11,0.5533199195171026,19,30,-18,-0.0019717852372477737,1.4453154776245356,3.1385888862609836,-0.5444402370894219
N4,REFIT4,suffix,SUPERSEDED,PS,12,1,8.333333333333334,0,1,0,0.6970848316947619,6.38290303945541,8.90155524015427,-0.16628972813487053
N4,REFIT4,suffix,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
N4,REFIT4,suffix,ALL,NS,10000,67,0.67,173,240,8,-0.004241113762033638,1.0402442097663873,2.1170067453384402,0.059683593827762525
N4,REFIT4,suffix,ACTIVE_TARGET,NS,9940,68,0.6841046277665996,171,239,8,-0.007065751936726583,1.0344122648239131,2.0941149592399606,0.056948110389555884
N4,REFIT4,suffix,SUPERSEDED,NS,60,-1,-1.6666666666666667,2,1,0,0.46370727717876437,2.832030010223387,6.205122919082628,0.5128620167573293
N4,REFIT4,suffix,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
N4,REFIT4,entry_old,ALL,RS,5000,-4,-0.08,9,5,-6,0.02807847482268844,0.012931640120223173,0.49686050653458164,0.11492422849573194
N4,REFIT4,entry_old,ACTIVE_TARGET,RS,4910,-1,-0.020366598778004074,4,3,-3,0.0031875432430318526,0.008825463033281277,0.18233267188072158,0.0989881732131216
N4,REFIT4,entry_old,SUPERSEDED,RS,90,-3,-3.3333333333333335,5,2,-3,1.3860170754461756,10.582924184203147,13.707393164634704,0.9843245778025852
N4,REFIT4,entry_old,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
N4,REFIT4,entry_old,ALL,PS,10000,-9,-0.09,52,43,21,0.011584642235257342,0.48108122348785365,1.3150427305698416,0.04050544537206879
N4,REFIT4,entry_old,ACTIVE_TARGET,PS,9820,-6,-0.06109979633401222,43,37,13,0.0015785343435479676,0.4535781621932979,1.117436904907226,0.03646201021294062
N4,REFIT4,entry_old,SUPERSEDED,PS,180,-3,-1.6666666666666667,9,6,8,0.5574734172162911,4.516599082946771,9.148988831043246,0.26109729683117217
N4,REFIT4,entry_old,UNKNOWN_RELATION,PS,0,0,,0,0,0,,,,
N4,REFIT4,entry_old,ALL,NS,50000,213,0.426,981,1194,-7,-0.017001603940522764,1.0076945781707762,1.964008651971821,0.04319005054635403
N4,REFIT4,entry_old,ACTIVE_TARGET,NS,49100,211,0.42973523421588594,949,1160,-7,-0.023240141034239613,0.9943649768829335,1.9008503818512086,0.03671641528928335
N4,REFIT4,entry_old,SUPERSEDED,NS,900,2,0.2222222222222222,32,34,0,0.323345253061141,2.5362658739089943,6.642160210609434,0.3963628184598767
N4,REFIT4,entry_old,UNKNOWN_RELATION,NS,0,0,,0,0,0,,,,
N4,REFIT4,fullseen,ALL,RS,6000,-5,-0.08333333333333333,10,5,-1,0.021765234623726124,0.02480618944391611,0.4391492738574781,-0.04746134561765939
N4,REFIT4,fullseen,ACTIVE_TARGET,RS,5904,-1,-0.016937669376693765,4,3,1,0.0009763448383116617,0.020968824706505962,0.16484118182212348,-0.065231372907677
N4,REFIT4,fullseen,SUPERSEDED,RS,96,-4,-4.166666666666667,6,2,-2,1.3002819564267156,10.490020886063576,13.63105795383453,1.0453953327184233
N4,REFIT4,fullseen,UNKNOWN_RELATION,RS,0,0,,0,0,0,,,,
N4,REFIT4,fullseen,ALL,PS,12000,3,0.025,71,74,3,0.010024294273438499,0.6417780280113218,1.949786728918553,-0.056607351195891775
N4,REFIT4,fullseen,ACTIVE_TARGET,PS,11808,5,0.04234417344173442,62,67,-5,0.000980800999491232,0.6126017689704883,1.6803085681796113,-0.06133894402461838
