arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c1,3,post_writer_W,rephrase,true,2000,6.674822924003005,6.485594987869263,11.18874740600586,20.98405647277832,0.012629292905330658
c1,3,post_writer_W,rewrite,new,1000,1.6300272036739625,1.1132111549377441,3.8675599098205566,11.989811897277832,0.0024038248229771852
c1,3,post_writer_W,rewrite,true,1000,7.253517406046391,6.896252870559692,11.682960510253906,18.441844940185547,0.5710999369621277
c1,3,pre_writer_W,rephrase,new,2000,6.081247076801955,5.714910984039307,10.749074935913086,20.88849449157715,0.08727691322565079
c1,3,pre_writer_W,rephrase,true,2000,5.3760699313706715,4.991296052932739,9.866668701171875,21.05841636657715,0.00945920031517744
c1,3,pre_writer_W,rewrite,new,1000,4.408736419767141,3.993102788925171,8.009810447692871,15.51571273803711,0.10113586485385895
c1,3,pre_writer_W,rewrite,true,1000,5.14080628798157,4.770459413528442,9.045573234558105,14.105364799499512,0.09842051565647125
c1,4,accepted_z,rephrase,new,2000,2.0798333287138666,1.062584936618805,5.670254707336426,17.86542510986328,0.0006426891195587814
c1,4,accepted_z,rephrase,true,2000,8.191645110052544,8.105507850646973,12.58787727355957,18.951269149780273,0.008357786573469639
c1,4,accepted_z,rewrite,new,1000,0.5902169087305082,0.2704324722290039,1.3054794073104858,9.661364555358887,0.000285227142740041
c1,4,accepted_z,rewrite,true,1000,8.613878685355186,8.249531745910645,13.276805877685547,21.158100128173828,1.1058989763259888
c1,4,post_writer_W,rephrase,new,2000,2.6383348667911486,1.5961865782737732,6.597646713256836,18.16640281677246,0.0009090343955904245
c1,4,post_writer_W,rephrase,true,2000,7.267133531573694,7.034669399261475,11.866745948791504,20.95549774169922,0.008068467490375042
c1,4,post_writer_W,rewrite,new,1000,0.5954562274413765,0.26047469675540924,1.3210293054580688,9.779153823852539,0.0004563482361845672
c1,4,post_writer_W,rewrite,true,1000,8.592954678058625,8.234584331512451,13.364273071289062,21.2020320892334,1.0599772930145264
c1,4,pre_writer_W,rephrase,new,2000,3.5407816375520778,2.766173839569092,7.812487602233887,18.275907516479492,0.001828071428462863
c1,4,pre_writer_W,rephrase,true,2000,6.674822924003005,6.485594987869263,11.18874740600586,20.98405647277832,0.012629292905330658
c1,4,pre_writer_W,rewrite,new,1000,1.6300272036739625,1.1132111549377441,3.8675599098205566,11.989811897277832,0.0024038248229771852
c1,4,pre_writer_W,rewrite,true,1000,7.253517406046391,6.896252870559692,11.682960510253906,18.441844940185547,0.5710999369621277
