batch,RS_rate,PS_rate,NS_rate,q_after_mean,q_worsened,distance_from_own_immediate_activation_mean,batch_net_actual_frobenius,W0_net_actual_frobenius,batch_squared_share,cell,arm
9,0.99666666666666681,0.91500000000000004,0.77511111111111097,0.18657118009840173,83.666666666666671,0.3526529116551495,10.43565444719165,27.77723356434235,0.44850258681775768,LA,ORBFH
10,0.996,0.91800000000000004,0.77649999999999986,0.18763401418434247,85.700000000000003,0.38471517222515433,10.6940261366691,29.750037926512352,0.43478946610636637,LA,ORBFH
1,1,0.84499999999999986,0.872,0.2088447937296391,0,0,7.9246229685736447,7.9246229685736447,0.65183272168133244,LA,JAC
2,0.995,0.875,0.85350000000000004,0.20431133793626199,44,0.084157120786852904,8.5229383519340196,11.636807800462469,0.60449927236431455,LA,JAC
3,0.99333333333333318,0.88166666666666671,0.83399999999999985,0.20720329949771876,63.666666666666664,0.15203813595153093,9.1484377258049836,14.796938665506152,0.61045033295275275,LA,JAC
4,0.995,0.91125,0.82425000000000004,0.20495244368483923,70,0.18512460694685701,9.5346192337519025,17.591557136001434,0.57924186811967837,LA,JAC
5,0.83199999999999985,0.755,0.83020000000000005,0.36393575457090244,42.200000000000003,0.1481013325362901,8.6355773523240885e-05,17.591557217068583,0.041774241430353,LA,JAC
6,0.85999999999999988,0.78500000000000003,0.79800000000000004,19.339548098724645,71,0.21747560450866574,10.375394641980597,20.40657400546803,0.56487429231877984,LA,JAC
7,0.88142857142857145,0.80642857142857127,0.78642857142857137,21.636340500081019,68.285714285714292,0.24817165537033087,10.288873177020616,22.833598128881643,0.58054574485852795,LA,JAC
8,0.89749999999999985,0.82750000000000001,0.76612499999999994,24.19364222622308,75.5,0.28491272830237896,11.027500656142864,25.331722988096235,0.56238697991959874,LA,JAC
9,0.90777777777777757,0.84444444444444444,0.76277777777777767,24.020501840266661,76.777777777777771,0.31709413284038596,11.03818571875394,27.605260622051407,0.55280768957883031,LA,JAC
10,0.91800000000000004,0.84899999999999987,0.7671,24.22753364527906,82.200000000000003,0.34786620044245736,11.342635956015332,29.814984246835724,0.53675162051899372,LA,JAC
1,1,0.95999999999999996,0.82599999999999985,0.093841197945664506,0,0,72.094548172438053,72.094548172438053,0.089892592579090005,QM,O
2,1,0.96999999999999997,0.83350000000000002,0.12874985554561111,50,7.7655785177667243,84.840139797090018,111.52206329185869,0.063740345730866302,QM,O
3,0.99666666666666681,0.96999999999999997,0.80833333333333335,0.17546806270342583,66.666666666666671,14.398940341751953,78.041785963739201,137.26429762742731,0.085343376658793005,QM,O
4,0.995,0.98250000000000004,0.79525000000000001,0.20260524083125972,74.75,18.489157321623392,75.422029650485982,157.19229330617588,0.073265313489715003,QM,O
5,0.99199999999999999,0.98199999999999998,0.78539999999999988,0.22899113001408483,80,22.30613652365852,72.731604800110091,173.28144315302444,0.0725159460501376,QM,O
6,0.99333333333333318,0.97999999999999998,0.75649999999999995,0.26467468307347514,83.166666666666671,26.750454837704918,69.112657054179365,185.27004748201247,0.090626084118508005,QM,O
