cell,arm,batch,RS_cumulative_minus_online_pp,PS_cumulative_minus_online_pp,PS_strict_cumulative_minus_online_pp,NS_cumulative_minus_online_pp
QM,O,9,-0.77777777777777724,-1.388888888888884,-2.2222222222222254,-8.1999999999999957
QM,O,10,-2.5000000000000022,-2.3500000000000076,-3.9999999999999925,-8.329999999999993
QM,QCL,1,0,0,0,0
QM,QCL,2,-0.50000000000000044,0.25000000000000577,0.50000000000000044,-0.80000000000000071
QM,QCL,3,-0.66666666666667096,-0.16666666666665941,0,-1.4333333333333309
QM,QCL,4,-0.50000000000000044,0.12499999999999734,0.24999999999999467,-1.9749999999999934
QM,QCL,5,-0.80000000000000071,-0.20000000000000018,0.20000000000000018,-2.4000000000000021
QM,QCL,6,-0.66666666666667096,-0.50000000000000044,-0.33333333333332993,-3.5333333333333328
QM,QCL,7,-0.71428571428571175,0,0.57142857142856718,-3.7428571428571367
QM,QCL,8,-0.50000000000000044,0,0.37500000000000311,-4.3374999999999941
QM,QCL,9,-0.55555555555555358,0,0.55555555555555358,-6.0444444444444407
QM,QCL,10,-0.50000000000000044,0,0.40000000000000036,-6.199999999999994
QM,NQFIX,1,0,0,0,0
QM,NQFIX,2,0,-0.25000000000000577,0,-1.0000000000000009
QM,NQFIX,3,-0.66666666666667096,0.16666666666667052,0.66666666666665986,-2.1000000000000019
QM,NQFIX,4,-0.50000000000000044,0.12499999999999734,0.50000000000000044,-3.1749999999999945
QM,NQFIX,5,-0.80000000000000071,-0.10000000000000009,0.40000000000000036,-4.0000000000000036
QM,NQFIX,6,-1.0000000000000009,-1.2499999999999956,-1.6666666666666718,-6.4999999999999947
QM,NQFIX,7,-1.4285714285714235,-3.2857142857142918,-5.1428571428571379,-7.0142857142857178
QM,NQFIX,8,-5.2500000000000107,-7.0000000000000062,-11.125000000000007,-6.8374999999999968
QM,NQFIX,9,-10.999999999999998,-13.722222222222214,-21.55555555555555,-8.3888888888888786
QM,NQFIX,10,-14.500000000000002,-21.950000000000003,-32.400000000000006,-8.4500000000000028
QM,ORBFH,1,0,0,0,0
QM,ORBFH,2,-0.50000000000000044,0,0,-1.0000000000000009
QM,ORBFH,3,-0.66666666666667096,-0.66666666666667096,-1.0000000000000009,-2.0333333333333314
QM,ORBFH,4,-0.50000000000000044,-0.12499999999999734,-0.50000000000000044,-2.5750000000000051
QM,ORBFH,5,-1.0000000000000009,-0.30000000000000027,-0.20000000000000018,-3.0399999999999983
QM,ORBFH,6,-0.83333333333333037,-0.5833333333333246,-0.83333333333333037,-4.9833333333333396
QM,ORBFH,7,-0.85714285714285632,-0.71428571428572285,-1.0000000000000009,-5.4571428571428608
QM,ORBFH,8,-0.62499999999999778,-0.37500000000000311,-0.62499999999999778,-5.3624999999999918
QM,ORBFH,9,-0.44444444444444731,-0.55555555555555358,-0.77777777777778834,-8.3888888888888893
QM,ORBFH,10,-1.0000000000000009,-1.2499999999999956,-2.200000000000002,-8.8400000000000034
QM,JAC,1,0,0,0,0
QM,JAC,2,0,0,0,-1.2499999999999956
QM,JAC,3,-0.33333333333334103,-0.33333333333334103,-0.33333333333332993,-2.7333333333333321
QM,JAC,4,-0.25000000000000577,-0.12500000000000844,0,-2.4249999999999994
QM,JAC,5,-0.60000000000000053,-0.40000000000000036,-0.40000000000000036,-3.7000000000000033
QM,JAC,6,-0.50000000000000044,-0.41666666666666519,-0.16666666666667052,-5.4833333333333396
QM,JAC,7,-0.42857142857142261,-0.35714285714286698,-0.14285714285714457,-5.8999999999999941
QM,JAC,8,-0.37500000000000311,-0.18750000000000711,-0.24999999999999467,-6.887500000000002
QM,JAC,9,-0.33333333333334103,-0.66666666666665986,-1.1111111111111183,-8.6111111111111143
QM,JAC,10,-0.30000000000000027,-1.3499999999999956,-2.5000000000000022,-9.0900000000000087
QA,O,1,0,0,0,0
QA,O,2,0,-0.25000000000000577,0,-0.45000000000000595
QA,O,3,0,0,0,-1.9333333333333313
QA,O,4,-0.25000000000000577,0.24999999999999467,0.75000000000000622,-2.5499999999999967
QA,O,5,-0.20000000000000018,0,0.20000000000000018,-3.1200000000000006
QA,O,6,0,-0.16666666666665941,0,-3.8666666666666738
QA,O,7,-6.571428571428573,-5.0714285714285712,-8.4285714285714306,-13.128571428571433
QA,O,8,-11.624999999999996,-12.5,-20.999999999999996,-15.012499999999996
QA,O,9,-15.333333333333343,-14.888888888888886,-23.222222222222221,-15.266666666666662
QA,O,10,-17.000000000000004,-18.149999999999999,-27.399999999999991,-13.790000000000003
QA,QCL,1,0,0,0,0
QA,QCL,2,0,-0.25000000000000577,0,-0.60000000000000053
QA,QCL,3,0,-0.33333333333332993,0,-1.533333333333331
QA,QCL,4,0,-0.25000000000000577,-0.25000000000000577,-1.4249999999999985
QA,QCL,5,0,0,0.20000000000000018,-1.9399999999999973
QA,QCL,6,0,0,0,-2.0333333333333314
QA,QCL,7,-0.42857142857142261,-0.35714285714285587,-0.42857142857143371,-7.8714285714285737
QA,QCL,8,-15.749999999999996,-23.562499999999996,-34.25,-13.824999999999999
QA,QCL,9,-17.222222222222218,-29.888888888888886,-41.333333333333336,-13.111111111111118
QA,QCL,10,-19.899999999999995,-32.499999999999993,-41.699999999999996,-13.100000000000001
QA,NQFIX,1,0,0,0,0
QA,NQFIX,2,-0.50000000000000044,-0.24999999999999467,-0.50000000000000044,-1.1499999999999955
QA,NQFIX,3,-32.666666666666664,-31.166666666666664,-42,-22.733333333333327
QA,NQFIX,4,-21.999999999999996,-21.124999999999993,-28.249999999999996,-16.149999999999999
QA,NQFIX,5,-20.400000000000006,-17.899999999999995,-25.199999999999999,-12.580000000000002
QA,NQFIX,6,-17.500000000000004,-15.000000000000002,-21.166666666666671,-10.099999999999998
QA,NQFIX,7,-17.714285714285715,-14.357142857142858,-20.428571428571423,-10.399999999999999
QA,NQFIX,8,-17.374999999999996,-14.625,-21.375,-8.725000000000005
QA,NQFIX,9,-17.222222222222229,-15.111111111111109,-20.222222222222218,-6.033333333333335
QA,NQFIX,10,-14.000000000000002,-13.649999999999995,-20.100000000000001,-6.2699999999999978
QA,ORBFH,1,0,0,0,0
QA,ORBFH,2,0,-0.24999999999999467,0,-0.40000000000000036
QA,ORBFH,3,0,-0.50000000000000044,-0.66666666666667096,-1.0000000000000009
QA,ORBFH,4,0,-0.24999999999999467,-0.50000000000000044,-1.2749999999999928
QA,ORBFH,5,0,-0.10000000000000009,-0.40000000000000036,-1.6600000000000059
QA,ORBFH,6,0,0.083333333333335258,0.16666666666667052,-2.4500000000000077
QA,ORBFH,7,-0.14285714285714457,-0.071428571428577836,-0.14285714285714457,-2.7857142857142803
QA,ORBFH,8,-5.1250000000000018,-11.375000000000002,-18.624999999999993,-6.1250000000000027
QA,ORBFH,9,-3.1111111111111089,-12.611111111111118,-20.999999999999996,-5.4222222222222172
QA,ORBFH,10,-5.100000000000005,-23.249999999999993,-35.70000000000001,-5.8300000000000018
QA,JAC,1,0,0,0,0
QA,JAC,2,0,-0.25000000000000577,-0.50000000000000044,-0.65000000000000613
QA,JAC,3,0,0.16666666666667052,0.33333333333332993,-1.4000000000000012
QA,JAC,4,0,0.12499999999999734,0.25000000000000577,-1.6749999999999932
QA,JAC,5,0,0.10000000000000009,0,-2.2800000000000042
QA,JAC,6,0,0.33333333333332993,0.33333333333332993,-3.3833333333333382
QA,JAC,7,0,0.2142857142857113,0.14285714285714457,-3.3857142857142808
QA,JAC,8,0,0.187499999999996,0.12500000000000844,-2.9625000000000012
QA,JAC,9,0.11111111111111738,-0.33333333333332993,-0.44444444444444731,-3.3999999999999919
QA,JAC,10,0.40000000000000036,-0.74999999999999512,-1.7000000000000015,-3.3000000000000029
