comparison,cohort,future_batches,metric,denominator,before_num,after_num,delta_pp,retained,lost,gained,both_failed,conditional_loss_den,conditional_recovery_den,strict_lost,strict_gained,strict_before,strict_after,desired_NLL_harm_mean,desired_NLL_harm_median,desired_NLL_harm_p90,desired_NLL_harm_p95,desired_NLL_harm_p99,desired_NLL_harm_min,desired_NLL_harm_max,competing_NLL_change_mean,competing_NLL_change_median,competing_NLL_change_p90,competing_NLL_change_p95,competing_NLL_change_p99,competing_NLL_change_min,competing_NLL_change_max
ATWRITE_TO_W100,31,69,RS,100,100,98,-2.0,98,2,0,0,100,0,8,0,100,92,0.431425308988255,0.025820191949605942,0.7671785753220323,2.3312571968883273,7.803514463175103,-0.4533178359270096,10.835061775520444,-0.6569338870048523,-0.6275124549865723,2.122566223144532,2.7852915525436397,3.745762910842907,-6.229974746704102,5.993668556213379
ATWRITE_TO_W100,32,68,RS,100,100,99,-1.0,99,1,0,0,100,0,8,0,100,92,0.40016794454197224,0.022140849847346544,1.0021936692530289,1.9158799071330572,4.40677657401194,-0.07538726087659597,13.727112075313926,-1.3874830842018127,-0.9403791427612305,1.225500106811525,2.360828304290771,3.839833312034625,-11.327113628387451,7.266727447509766
ATWRITE_TO_W100,33,67,RS,100,99,96,-3.0,96,3,0,1,99,1,10,1,98,89,0.3327633195312228,0.01112314872443676,1.0060933150351066,2.7220939716324204,3.6732134257256996,-0.4749607443809509,3.938989967107773,-0.8352932369709015,-0.4441337585449219,1.6777060508728041,2.2743344783782953,3.1881869220733687,-7.511706352233887,4.048418045043945
ATWRITE_TO_W100,34,66,RS,100,100,99,-1.0,99,1,0,0,100,0,5,0,100,95,0.20861730202741455,0.015941666904836893,0.3501421700231739,1.0129522740840908,3.904005575906491,-0.2676597833633423,5.0465938579291105,-0.9413528443872928,-0.6524062156677246,1.8480178833007814,2.9920500993728623,5.003116145133987,-11.531039237976074,7.893736362457275
ATWRITE_TO_W100,35,65,RS,100,100,98,-2.0,98,2,0,0,100,0,6,0,99,93,0.28963541687931865,0.016371786827221513,0.43704835344105963,2.2217171298339946,4.403422713801266,-0.14614323806017637,4.599130682647228,-1.085299889035523,-0.7249960899353027,1.5148570060730013,2.6849994182586667,4.26663038253785,-7.7942705154418945,5.968175888061523
ATWRITE_TO_W100,36,64,RS,100,100,98,-2.0,98,2,0,0,100,0,9,0,100,91,0.375087368721579,0.016746217384934425,1.1345478350296658,1.8063206744845932,5.79302016681992,-0.4186632037162781,6.631007946096361,-1.2673736880719662,-1.1886115074157715,1.770155572891236,2.6356012582778927,4.038465976715089,-8.408642277121544,4.1759796142578125
ATWRITE_TO_W100,37,63,RS,100,100,99,-1.0,99,1,0,0,100,0,9,1,99,91,0.334707863888907,0.01656502322293818,0.5917634347453731,2.0970048371702426,5.416627166420251,-1.320147544145584,11.12215356528759,-0.9801220941543579,-0.8959963321685791,1.9592460632324225,2.857217526435852,4.387980108261108,-10.65048885345459,4.404750823974609
ATWRITE_TO_W100,38,62,RS,100,100,100,0.0,100,0,0,0,100,0,8,0,98,90,0.4305233671559836,0.009600815479643643,0.6963090540841239,2.653457355685532,8.999056018292906,-1.708857536315918,9.387179851531982,-0.7912013387680054,-0.6070194244384766,1.546979188919068,2.0574267148971552,3.0354741907119784,-6.73446798324585,3.683330535888672
ATWRITE_TO_W100,39,61,RS,100,100,99,-1.0,99,1,0,0,100,0,8,0,99,91,0.484806413546321,0.022122593596577644,0.6823849426116824,1.3307102650403961,12.717574190711616,-0.20620295405387878,15.286402452737093,-0.6315016949176788,-0.7276573181152344,1.7725184917449979,2.629143595695495,4.276374793052714,-9.022714138031006,12.092037677764893
ATWRITE_TO_W100,40,60,RS,100,100,98,-2.0,98,2,0,0,100,0,8,0,99,91,0.30440293121064316,0.013133059459505603,0.4418868871289323,2.3051281837746496,4.56894684065135,-0.14365829527378082,7.689340922981501,-0.7965496850013732,-0.4764230251312256,1.9147079467773438,2.163284349441528,3.125154521465304,-11.158950805664062,3.5773754119873047
