arrival_batch,metric_tag,numerator,denominator,strict_numerator,token_correct,token_denominator,safety_margin_mean,safety_margin_q05,anchor
53,RS,100,100,99,101,102,13.95437461055044,7.888859772065189,ACTUAL_ARRIVAL_CURRENT_JSON
54,NS,743,1000,106,116,1010,2.410276115482586,-5.339569503068923,ACTUAL_ARRIVAL_CURRENT_JSON
54,PS,197,200,148,150,202,8.981230120114779,2.3675650835037234,ACTUAL_ARRIVAL_CURRENT_JSON
54,RP_JOINT,97,100,59,251,303,7.468099408198614,0.8703771114349366,ACTUAL_ARRIVAL_CURRENT_JSON
54,RS,100,100,100,101,101,13.84117059182572,8.37838687975891,ACTUAL_ARRIVAL_CURRENT_JSON
55,NS,754,1000,120,120,1000,2.9333564043532823,-4.241238069534302,ACTUAL_ARRIVAL_CURRENT_JSON
55,PS,193,200,146,148,202,9.206738720054345,0.5377905368804934,ACTUAL_ARRIVAL_CURRENT_JSON
55,RP_JOINT,93,100,59,248,303,7.563317327396944,-0.2015421867370605,ACTUAL_ARRIVAL_CURRENT_JSON
55,RS,100,100,99,100,101,14.577929826428951,7.772368007234763,ACTUAL_ARRIVAL_CURRENT_JSON
56,NS,685,1000,92,132,1040,2.1826106301092367,-6.1648264169693,ACTUAL_ARRIVAL_CURRENT_JSON
56,PS,189,200,139,149,210,8.455246013580618,-0.3899095058441162,ACTUAL_ARRIVAL_CURRENT_JSON
56,RP_JOINT,92,100,56,253,315,6.807790803682292,-0.5845932066440581,ACTUAL_ARRIVAL_CURRENT_JSON
56,RS,100,100,99,104,105,14.272915799060211,7.706144463806413,ACTUAL_ARRIVAL_CURRENT_JSON
57,NS,730,1000,96,106,1010,2.754790622119559,-5.037511932849884,ACTUAL_ARRIVAL_CURRENT_JSON
57,PS,197,200,146,146,200,9.120732606876627,1.886722469329834,ACTUAL_ARRIVAL_CURRENT_JSON
57,RP_JOINT,97,100,57,246,300,7.546250051200623,1.0163902044296265,ACTUAL_ARRIVAL_CURRENT_JSON
57,RS,100,100,100,100,100,14.133203109505194,8.319462612480857,ACTUAL_ARRIVAL_CURRENT_JSON
58,NS,712,1000,124,164,1040,2.1616668827887624,-4.793002867698669,ACTUAL_ARRIVAL_CURRENT_JSON
58,PS,195,200,135,137,202,8.164288144964521,1.4576065063476566,ACTUAL_ARRIVAL_CURRENT_JSON
58,RP_JOINT,95,100,53,236,303,6.551748891063035,0.7270813941955568,ACTUAL_ARRIVAL_CURRENT_JSON
58,RS,100,100,98,99,101,13.20217999700595,7.2729331601178275,ACTUAL_ARRIVAL_CURRENT_JSON
59,NS,673,1000,107,115,1010,2.0614983120532706,-6.397477751970291,ACTUAL_ARRIVAL_CURRENT_JSON
