model,arm,outer_step_index,lambda,oracle_residual_norm,waypoint_residual_norm,waypoint_injection_nll,alpha,W_nll_pre,W_nll_post,predicted_progress,actual_progress,negative_progress,target_objective_mean,target_objective_median,target_objective_p90,target_objective_max,final_vs_best_gap_mean,post_residual_norm,outer_update_energy,fallback_count,retry_count,native_storage_assignment_count,logical_outer_commit_count,current_key_q_refresh_count,oracle_target_sha256,waypoint_sha256,post_terminal_sha256
Qwen2.5-7B-Instruct,C0-FH,6,0.5,1179292.7682377943,589646.3840240622,16.262870388031004,7.915496844645986e-07,16.26287117958069,16.214647483825683,7.915496844645986e-07,0.048223695755005735,False,16.292482613027683,16.380143382704063,18.58368567916685,21.255218577836377,0.00015296725889184514,57392640.837398306,130630274783299.1,0,0,5,1,4,e2fa3e54016214a4bf10c2e5fb4cabba2bb9f4e048463ffad47e134707117530,61a5076a02daa6ca400c67f2a3d30adfa91e4a63ac93004c02653a99866bf364,65ea9be013b570f576a624fc318c335ce90c71785f1f1b43f7ee5b52ac47657e
Qwen2.5-7B-Instruct,C0-FH,7,1.0,57483386.15018641,57483386.15018641,16.214525203704834,0.0001222801208484725,16.214647483825683,15.6522145986557,0.0001222801208484725,0.5624328851699829,False,16.30565564483178,16.24257404733604,18.65899299923086,25.28543941766953,0.00017590034024726365,497741233.3309847,3726034279739648.0,0,0,5,1,4,b16b8ae90302c7161ff13817c743cc1d222a1386233f129c01f3999e36eae6f7,b16b8ae90302c7161ff13817c743cc1d222a1386233f129c01f3999e36eae6f7,07fa19f8a6264384e15a66b9e9fec729f1c61340f22a40db7aebc3163d28dc00
Qwen2.5-7B-Instruct,C1-FH,0,0.125,841.7357220908568,105.21696526372915,5.660446764230728,4.750101002454758,10.410547766685486,10.83082031726837,4.750101002454758,-0.4202725505828848,True,0.5761609640089712,0.11049617818645818,0.9819208834546543,9.234878554317554,3.1146751526731075e-06,16179.548774037843,437429.3162564233,0,0,5,1,4,dd67cab8240cb18ab413c67b2a82fcb27e483878e6f409e8f8d7a32c7366f0cc,ca86728ff17083495f97ab6462ac0a1b5fcd1e2bb088e6d83284e1b523d0b64a,3638a45e86a2686e1de4c0cf68c9426637dc0f9f1a5547640dc6b485430c2501
Qwen2.5-7B-Instruct,C1-FH,1,0.14285714285714285,16172.035731597494,2310.290817630632,10.782031195163727,0.04878912210464392,10.83082031726837,15.075738849639892,0.04878912210464392,-4.244918532371521,True,0.08002289401001246,0.06848421570086152,0.12156712044786541,0.519014771584784,0.002058227806012066,140728.24297039013,28185352.932399664,0,0,5,1,4,449d13b2766852308e0badb2ee7a0543cdfb0e1c88a57605f39bd5f3a283e001,2680f28551156de727b49864c800254bf940ac98c064883670bcd90a3c89634e,5859cd1a593e116365d4087668c5c1fe709f9aea139cd0cf3e1d9a48c528e7df
Qwen2.5-7B-Instruct,C1-FH,2,0.16666666666666666,136164.122081315,22694.020362758773,15.075723476409912,1.5373229979687153e-05,15.075738849639892,16.472210817337036,1.5373229979687153e-05,-1.3964719676971438,True,14.794833399560527,14.445582952435336,18.05348512083703,20.278429508450085,2.6223038841681756e-05,4434778.001775756,53276112739.74207,0,0,5,1,4,29fb8de2fd247978ccf19d304b3d7a05af1a6fcabc5c60b793fece9519c5012a,67d63542112ead0df18024b9a39549e4a4fd09e2245d11ef1faab7aabbf3a219,a27ac0eb15e68a35016421989713b9d2906a44e1df39c6199f51a13f0916847c
Qwen2.5-7B-Instruct,C1-FH,3,0.2,4465671.806238661,893134.3615548438,16.47221360206604,0.0,16.472210817337036,16.472210817337036,0.0,0.0,False,16.57427334368773,16.378708386414385,19.256640254060414,21.422545205354734,0.00047487580808663665,,0.0,0,0,,,0,24b21641b77a49d99fd6d920d2ea13cde36bedb69d52e9efcf049f3fb3d6f9fb,ad8e91010516144b1aa9e153328b7ea85c54b7f70e096658760e5e0de46e6a38,a27ac0eb15e68a35016421989713b9d2906a44e1df39c6199f51a13f0916847c
Qwen2.5-7B-Instruct,C1-FH,4,0.25,4465671.005534918,1116417.750779805,16.47221384048462,0.0,16.472210817337036,16.472210817337036,0.0,0.0,False,16.56317665293368,16.364215300846986,19.240415758382937,21.414130816674355,0.00047289445607310297,,0.0,0,0,,,0,72353baf9cadb83ee0e0fa43c9b0022de054b98ae6dae9ce11c16a9e55404f18,2f67211f2ee4d6aa7839d4448370136ce8ab9660681e1dec6da903f065b55446,a27ac0eb15e68a35016421989713b9d2906a44e1df39c6199f51a13f0916847c
Qwen2.5-7B-Instruct,C1-FH,5,0.3333333333333333,4465669.614480575,1488556.537332445,16.472214031219483,0.0,16.472210817337036,16.472210817337036,0.0,0.0,False,16.55585311499289,16.35875810950208,19.231842811352735,21.394721021785887,0.00027211866621076555,,0.0,0,0,,,0,53729a18439daa72fa17da51cae427abfe90c3153f37f6498bd71039d5d54e6d,2c9947053e1ecac46b9c568dd24cb8638846e172f760ca60313624b80d306b10,a27ac0eb15e68a35016421989713b9d2906a44e1df39c6199f51a13f0916847c
Qwen2.5-7B-Instruct,C1-FH,6,0.5,4465669.105930732,2232834.552851757,16.472213249206543,0.0,16.472210817337036,16.472210817337036,0.0,0.0,False,16.55211582799522,16.356556565582867,19.229134913109505,21.391917471927105,0.0003401623842960966,,0.0,0,0,,,0,8fc784d0039310075622d9547bfd3106d17a264b87b5bc445c6d1daafccf64fa,5a7cffdd778a07c4235304fec9750a73ebaa939d85f392659379c795c8414152,a27ac0eb15e68a35016421989713b9d2906a44e1df39c6199f51a13f0916847c
Qwen2.5-7B-Instruct,C1-FH,7,1.0,4465669.329797499,4465669.329797499,16.467996263504027,0.004214553833008949,16.472210817337036,16.103371143341064,0.004214553833008949,0.3688396739959714,False,16.54972787076606,16.351769622965627,19.225765064838498,21.389647936097074,0.00031373878333887715,1087216289.2561953,2700452732274381.5,0,0,5,1,4,3ae6eb05aaf1de4661ffe9f7b0ad83010ba5d537aeaed013cfc42b3499839512,3ae6eb05aaf1de4661ffe9f7b0ad83010ba5d537aeaed013cfc42b3499839512,cab8832881b1a1ba6734157ac41c7b4e51f975e6942ab99950be0d0cf3d67852
Qwen2.5-7B-Instruct,C3-FH,0,0.125,841.7357220908568,105.21696526372915,5.660446764230728,4.750101002454758,10.410547766685486,5.795999427735805,4.750101002454758,4.614548338949681,False,0.5761609640089712,0.11049617818645818,0.9819208834546543,9.234878554317554,3.1146751526731075e-06,,,0,0,,,0,dd67cab8240cb18ab413c67b2a82fcb27e483878e6f409e8f8d7a32c7366f0cc,ca86728ff17083495f97ab6462ac0a1b5fcd1e2bb088e6d83284e1b523d0b64a,47fb7224edd99f9b3ff2418d6c1611b1600fd0dea60e73616eb29cafd24c9be1
