state_id,family,retained_interval_mask,kind,actual_checkpoint,construction_endpoint,removed_cohort_indices,used_in_main,used_in_pilot,used_in_pairs
BASE_ALPHAEDIT__01d,BASE_ALPHAEDIT,01d,COUNTERFACTUAL,,30,1,True,False,False
BASE_ALPHAEDIT__03d,BASE_ALPHAEDIT,03d,COUNTERFACTUAL,,40,1,True,False,False
BASE_ALPHAEDIT__07d,BASE_ALPHAEDIT,07d,COUNTERFACTUAL,,50,1,True,False,False
BASE_ALPHAEDIT__0fd,BASE_ALPHAEDIT,0fd,COUNTERFACTUAL,,60,1,True,False,False
BASE_ALPHAEDIT__1fd,BASE_ALPHAEDIT,1fd,COUNTERFACTUAL,,70,1,True,False,False
BASE_ALPHAEDIT__3fd,BASE_ALPHAEDIT,3fd,COUNTERFACTUAL,,80,1,True,False,False
BASE_ALPHAEDIT__7fd,BASE_ALPHAEDIT,7fd,COUNTERFACTUAL,,90,1,True,False,False
BASE_ALPHAEDIT__ffd,BASE_ALPHAEDIT,ffd,COUNTERFACTUAL,,100,1,True,False,False
BASE_ALPHAEDIT__00b,BASE_ALPHAEDIT,00b,COUNTERFACTUAL,,20,2,True,False,False
BASE_ALPHAEDIT__01b,BASE_ALPHAEDIT,01b,COUNTERFACTUAL,,30,2,True,False,False
BASE_ALPHAEDIT__03b,BASE_ALPHAEDIT,03b,COUNTERFACTUAL,,40,2,True,False,False
BASE_ALPHAEDIT__07b,BASE_ALPHAEDIT,07b,COUNTERFACTUAL,,50,2,True,False,False
BASE_ALPHAEDIT__0fb,BASE_ALPHAEDIT,0fb,COUNTERFACTUAL,,60,2,True,False,False
BASE_ALPHAEDIT__1fb,BASE_ALPHAEDIT,1fb,COUNTERFACTUAL,,70,2,True,False,False
BASE_ALPHAEDIT__3fb,BASE_ALPHAEDIT,3fb,COUNTERFACTUAL,,80,2,True,False,False
BASE_ALPHAEDIT__7fb,BASE_ALPHAEDIT,7fb,COUNTERFACTUAL,,90,2,True,False,False
BASE_ALPHAEDIT__ffb,BASE_ALPHAEDIT,ffb,COUNTERFACTUAL,,100,2,True,False,False
BASE_ALPHAEDIT__017,BASE_ALPHAEDIT,017,COUNTERFACTUAL,,30,3,True,True,False
BASE_ALPHAEDIT__037,BASE_ALPHAEDIT,037,COUNTERFACTUAL,,40,3,True,False,False
BASE_ALPHAEDIT__077,BASE_ALPHAEDIT,077,COUNTERFACTUAL,,50,3,True,True,False
BASE_ALPHAEDIT__0f7,BASE_ALPHAEDIT,0f7,COUNTERFACTUAL,,60,3,True,False,False
BASE_ALPHAEDIT__1f7,BASE_ALPHAEDIT,1f7,COUNTERFACTUAL,,70,3,True,True,False
BASE_ALPHAEDIT__3f7,BASE_ALPHAEDIT,3f7,COUNTERFACTUAL,,80,3,True,False,False
BASE_ALPHAEDIT__7f7,BASE_ALPHAEDIT,7f7,COUNTERFACTUAL,,90,3,True,False,False
BASE_ALPHAEDIT__ff7,BASE_ALPHAEDIT,ff7,COUNTERFACTUAL,,100,3,True,True,True
BASE_ALPHAEDIT__02f,BASE_ALPHAEDIT,02f,COUNTERFACTUAL,,40,4,True,False,False
BASE_ALPHAEDIT__06f,BASE_ALPHAEDIT,06f,COUNTERFACTUAL,,50,4,True,False,False
