state,panel,metric,population,field,extreme,identity,case_sha256,value,finite,identity_verified
N4,current,RS,ALL,true_nll,min,f7cd1770b61fd0c685e258b99c811cc07061eda4436dc9145a3b7c74fa98e677,868b5cf5e9e2b7152f387c8969611922f7276cd0db9af3c60336a54a09d0af69,5.0800395011901855,True,True
N4,current,RS,ALL,true_nll,max,d3afea0c92bcfbacbaa153da1f000a8a7d4aef72a17e3d2201e25cf1eafa4495,2f351206009bd31541b52e772dab244c7331af91be90d333165f7e77cde33805,23.32017707824707,True,True
N4,current,RS,ALL,desired_margin,min,76342b1e0a5116a38b68ca6c901088f71ea8b2989453b151d9f85f9d60eabb06,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,4.769098281860352,True,True
N4,current,RS,ALL,desired_margin,max,d3afea0c92bcfbacbaa153da1f000a8a7d4aef72a17e3d2201e25cf1eafa4495,2f351206009bd31541b52e772dab244c7331af91be90d333165f7e77cde33805,23.319139780360274,True,True
N4,current,PS,ALL,new_nll,min,e4c8e71d1c173a1570577038e7f7e4f6949327e5fcd7a1d82f4201bfc7141eb6,71ecfa2482791c0c60ae95e4be4c734dad84ff0720acac9614bcf19ff0fb2f56,0.0007128558354452252,True,True
N4,current,PS,ALL,new_nll,max,b663d022b9a1e4e36e7de3171a40325156720746f9b7c145ca709c85744e7299,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,9.980753898620605,True,True
N4,current,PS,ALL,true_nll,min,f68da68ed770bfaba7e887b58f8f66468b886c1e7d1c9afe38810523c7c10087,e4b8f2da99fd9407c758cd306f846562424ec5c38d320289f03c60b8437ed73d,2.055201530456543,True,True
N4,current,PS,ALL,true_nll,max,bd9f29ae62d71a330af5488bd08cfb38bada4d5fe9ff9065ad3e1d2b61d89ee8,8f7f63fd3b611035f1aa34d64a39f9f3823712a0a4aa868b99ee5dea12d990da,22.599929809570312,True,True
N4,current,PS,ALL,desired_margin,min,b663d022b9a1e4e36e7de3171a40325156720746f9b7c145ca709c85744e7299,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,-4.696284294128418,True,True
N4,current,PS,ALL,desired_margin,max,bd9f29ae62d71a330af5488bd08cfb38bada4d5fe9ff9065ad3e1d2b61d89ee8,8f7f63fd3b611035f1aa34d64a39f9f3823712a0a4aa868b99ee5dea12d990da,22.587824477814138,True,True
N4,current,NS,ALL,new_nll,min,434117e4a0e3d2242015efb1b01220f05e93c0711a14afe5d3ad7182e323e75e,c3d1232ee92be1fae591ba6e55b0007a6887d802f450e4ccbec7c323256597b2,0.018377743661403656,True,True
N4,current,NS,ALL,new_nll,max,dc130738be41365f9c31e323568435c98959f60c21641985eb47a5f169c13235,41ac9f4b6edb4de8be1a0542d145603d7f2dc2aa8d878691d750860653647eeb,21.45707130432129,True,True
N4,current,NS,ALL,true_nll,min,d7a22db049a60e0bc019d8169d9c7afbf0c59d4e4c705145d02ba8393e7e819e,41907372481ad56f63caae8f3c3d5f2eb5c53c0af56d1d0ac140ff0ddc5d5f26,0.014199178665876389,True,True
N4,current,NS,ALL,true_nll,max,6429ff411fcd2e2992e1e013d8415b246aee1cf8f73ddc6f3d2393e0bd5adc38,37a6520c67a7d24eb82e95ae3044ce7496b1c6b6886849d89ca6d9992b652b27,21.415830612182617,True,True
N4,current,NS,ALL,desired_margin,min,434117e4a0e3d2242015efb1b01220f05e93c0711a14afe5d3ad7182e323e75e,c3d1232ee92be1fae591ba6e55b0007a6887d802f450e4ccbec7c323256597b2,-13.430453814566135,True,True
N4,current,NS,ALL,desired_margin,max,8d24e3a023b71fc62ecb211eeaaa046f9d327dc857f623458a51462369bb1c59,b37bb790714ec2506228a1fdb5acbcc4a1ae760226fef46d7dab2ab433a9d4b1,17.050587236881256,True,True
N4,historical,RS,ALL,new_nll,min,ddd64ea55f7e402f34cd81172a4f9dfe1e4dd4de574649df2b1f8b69b5fb98be,b344cb621c5c3244aecbbaef54c64416744d5faf6e59cbad434bca9d100fe16b,8.40390202938579e-05,True,True
N4,historical,RS,ALL,new_nll,max,6307dd1fa0c01d7ebfef42fa0d06e87241109f8922d7220402888ce5f1f0ed88,c49eb5e7bb09a8e471441ed78fa006cbb96c24b221b12523d8ac63ecef1d81b0,13.910602569580078,True,True
N4,historical,RS,ALL,true_nll,min,90d74a549b4ca255cc577e537a5edac3fdebd81424f0537d945f583f649630e1,681d12400213531e5fdef04c597ac192d359c2d0351df6f22f0240134d873350,4.233462333679199,True,True
N4,historical,RS,ALL,true_nll,max,ac0a51bfaa7335262b67d782398ac652dfd3320eede257e45f182f4b5790c15c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,23.541820526123047,True,True
N4,historical,RS,ALL,desired_margin,min,cf7afd6edca87ca76026e3a8fa1a6041236055b6b1215f2e1ca68cc1f076641e,6e43a48e5e6e8eb5ba83a750ff5895b4eb55b7c3b7c20877f859ddde5f7cd520,2.796626091003418,True,True
N4,historical,RS,ALL,desired_margin,max,ac0a51bfaa7335262b67d782398ac652dfd3320eede257e45f182f4b5790c15c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,23.53831239696592,True,True
N4,historical,PS,ALL,new_nll,min,885d810371f006b265fd45ed97971fa7ad1d42a36ff4743c9eee3676bbc37958,155d1cf609cedded2fbc27a4646de87ce7f7de2913b1e5a1bbf148a6df483e19,0.0003978414461016655,True,True
N4,historical,PS,ALL,new_nll,max,469d4ea1685278cd39c25c113e0de3b00e89524618755fa0dd502fae23ed2fe9,c49eb5e7bb09a8e471441ed78fa006cbb96c24b221b12523d8ac63ecef1d81b0,15.797654151916504,True,True
N4,historical,PS,ALL,true_nll,min,2838dab70bdbd771b1db4cb6543080b87b5c814a79b5685dcb2c28b79c708a6a,794e2215c74dbbe4c734f52d1f3f638cd9a3fe687d5c56a2c511a1640e8c9604,2.703822612762451,True,True
N4,historical,PS,ALL,true_nll,max,29bea9bc700e99ddb618530a91acb3e936be5376db58ff1d9ff690087310465c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,21.45576286315918,True,True
N4,historical,PS,ALL,desired_margin,min,6361bb324612c8857806030f9ad56e5c6cf3a991cc6d36a00b480182d6cb8bfa,ec990f4f5504b3f027d534e7c038c6afb8567a6b6787e17d60f46edcbe66977a,-4.6480302810668945,True,True
N4,historical,PS,ALL,desired_margin,max,29bea9bc700e99ddb618530a91acb3e936be5376db58ff1d9ff690087310465c,a4238da765fb37b39f824237d4eddcbbac4b0eedaece539996a4a58144677a2c,21.449192934203893,True,True
N4,historical,NS,ALL,new_nll,min,05151f6db3ad32eb7e0d6293eab3acefddefbcc7919a188e1aced55de4338784,423460bac56d9233064480e4bb6f1eb6622e89dfa9f73d68f38553f39e8433ca,0.0005958688561804593,True,True
N4,historical,NS,ALL,new_nll,max,3392bb2cbf638573a1777c719847114057a6e9ee8cde1d547d2f262969752890,c49eb5e7bb09a8e471441ed78fa006cbb96c24b221b12523d8ac63ecef1d81b0,21.32379722595215,True,True
N4,historical,NS,ALL,true_nll,min,c0a7e1accddf37d6edbcc3a5f3270f6d45b4567e271d2da371add00c3c66fa5f,4c2d983d3514d1fcf50ff50111404b71bdc5bd398d84dc436ad5577d66f84ead,0.00568297877907753,True,True
N4,historical,NS,ALL,true_nll,max,2cc3f7c73824e0641e73759d09a1dba6963820850ecb30bdde8221012491f02a,6ac49669e238276d51719480fddfee2e18cf265f43678ed995071d363ee943f5,18.902942657470703,True,True
N4,historical,NS,ALL,desired_margin,min,e55890ab60e34e39f306209161f595e49f06dab4884c7a9080318aa146482c6b,a11501e6e45d69a5dabb06a84de9022d24dcd9a4400fad8f518dc292188d98e4,-13.43045393191278,True,True
N4,historical,NS,ALL,desired_margin,max,edfd5b7187f52fd9cc94dddcfef76b54b915b886939b00b4ecaeb6cc4d9185c8,90082cd88aab7803693ed63db5367b8a45f76fca4370e985c2323eb868820402,16.512583076953888,True,True
S875,current,RS,ALL,new_nll,min,d61e57e76c2ba53d609e00aa26cfb5dfbff8c43f67130faa8310abe3016389a1,71ecfa2482791c0c60ae95e4be4c734dad84ff0720acac9614bcf19ff0fb2f56,3.2782016205601394e-05,True,True
S875,current,RS,ALL,new_nll,max,76342b1e0a5116a38b68ca6c901088f71ea8b2989453b151d9f85f9d60eabb06,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,4.067821979522705,True,True
S875,current,RS,ALL,true_nll,min,f7cd1770b61fd0c685e258b99c811cc07061eda4436dc9145a3b7c74fa98e677,868b5cf5e9e2b7152f387c8969611922f7276cd0db9af3c60336a54a09d0af69,4.706395149230957,True,True
S875,current,RS,ALL,true_nll,max,d3afea0c92bcfbacbaa153da1f000a8a7d4aef72a17e3d2201e25cf1eafa4495,2f351206009bd31541b52e772dab244c7331af91be90d333165f7e77cde33805,21.955219268798828,True,True
S875,current,RS,ALL,desired_margin,min,76342b1e0a5116a38b68ca6c901088f71ea8b2989453b151d9f85f9d60eabb06,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,2.740596294403076,True,True
S875,current,RS,ALL,desired_margin,max,d3afea0c92bcfbacbaa153da1f000a8a7d4aef72a17e3d2201e25cf1eafa4495,2f351206009bd31541b52e772dab244c7331af91be90d333165f7e77cde33805,21.9530326211825,True,True
S875,current,PS,ALL,new_nll,min,e4c8e71d1c173a1570577038e7f7e4f6949327e5fcd7a1d82f4201bfc7141eb6,71ecfa2482791c0c60ae95e4be4c734dad84ff0720acac9614bcf19ff0fb2f56,0.0008122005965560675,True,True
S875,current,PS,ALL,new_nll,max,b663d022b9a1e4e36e7de3171a40325156720746f9b7c145ca709c85744e7299,442045b94797ee5fe968e858c44c6d01b2403cd4742dfd034c128ca20af310c4,10.547284126281738,True,True
