state,panel,metric,population,field,aggregation_unit,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max
W0,historical,PS,ALL,true_nll,REQUEST_CLUSTER_MEAN,128,4.271188481077843,4.1231138706207275,2.1609467919915915,6.018297612667084,3.8573508206754923,7.667446875572204,9.752926397323604,11.586784539222718,0.11632125824689865,12.386458396911621
W0,historical,PS,ALL,desired_margin,PROMPT,256,-5.699597448976419,-5.317392110824585,-8.352609045803547,-2.765389807522297,5.58721923828125,-0.13089847564697266,1.1679913997650146,4.012457358837126,-17.886848436668515,6.038210093975067
W0,historical,PS,ALL,desired_margin,REQUEST_CLUSTER_MEAN,128,-5.699597448976419,-5.410258054733276,-8.376603914424777,-2.7635397762060165,5.6130641382187605,-0.018509602546691963,1.0184357285499555,2.1372201284766206,-16.66018868330866,3.29194974899292
W0,historical,PS,ACTIVE_TARGET,new_nll,PROMPT,248,9.913279896061267,9.546545505523682,7.352511405944824,12.439234018325806,5.0867226123809814,14.835692405700685,16.576108741760255,17.86242687225342,0.5275643467903137,18.483152389526367
W0,historical,PS,ACTIVE_TARGET,new_nll,REQUEST_CLUSTER_MEAN,124,9.913279896061267,9.452523708343506,7.884717583656311,12.087876319885254,4.203158736228943,14.841177606582642,15.920316171646117,17.299305601119993,1.8865423202514648,17.53760814666748
W0,historical,PS,ACTIVE_TARGET,true_nll,PROMPT,248,4.1279873043494,3.6031769514083862,1.4962136149406433,6.075190186500549,4.578976571559906,8.714023303985597,10.336530208587643,12.57558539390564,0.01350022666156292,17.066370010375977
W0,historical,PS,ACTIVE_TARGET,true_nll,REQUEST_CLUSTER_MEAN,124,4.1279873043494,3.9833234548568726,2.0188447181135416,5.539508879184723,3.5206641610711813,7.370838952064514,9.30602227449417,11.592505993843078,0.11632125824689865,12.386458396911621
W0,historical,PS,ACTIVE_TARGET,desired_margin,PROMPT,248,-5.785292591711867,-5.345603406429291,-8.352609045803547,-2.9331517219543457,5.419457323849201,-0.261409568786621,1.081662225723263,4.02347021818161,-17.886848436668515,6.038210093975067
W0,historical,PS,ACTIVE_TARGET,desired_margin,REQUEST_CLUSTER_MEAN,124,-5.785292591711867,-5.488824665546417,-8.376603914424777,-2.959801010787487,5.41680290363729,-0.33187713623046866,1.0611010670661913,2.1469270297884933,-16.66018868330866,3.29194974899292
W0,historical,PS,SUPERSEDED,new_nll,PROMPT,8,11.753472983837128,12.65749454498291,9.558310627937317,13.685232639312744,4.126922011375427,15.247506237030029,15.823703336715697,16.284661016464234,6.701302528381348,16.399900436401367
W0,historical,PS,SUPERSEDED,new_nll,REQUEST_CLUSTER_MEAN,4,11.753472983837128,11.45519244670868,9.82135409116745,13.387311339378357,3.565957248210907,14.700981569290162,15.138871645927427,15.489183707237244,8.526745319366455,15.576761722564697
W0,historical,PS,SUPERSEDED,true_nll,PROMPT,8,8.710424959659576,9.150249481201172,7.504738450050354,10.25071120262146,2.745972752571106,11.355120277404785,11.92229013442993,12.376026020050048,3.9875688552856445,12.489459991455078
W0,historical,PS,SUPERSEDED,true_nll,REQUEST_CLUSTER_MEAN,4,8.710424959659576,9.79616928100586,8.2515167593956,10.255077481269836,2.003560721874237,10.26169695854187,10.26390345096588,10.265668644905091,4.983251333236694,10.266109943389893
W0,historical,PS,SUPERSEDED,desired_margin,PROMPT,8,-3.0430480241775513,-1.4123544692993164,-4.291949391365051,-0.021508097648620605,4.270441293716431,1.166448640823364,1.5511999368667597,1.8590009737014768,-12.412331581115723,1.9359512329101562
W0,historical,PS,SUPERSEDED,desired_margin,REQUEST_CLUSTER_MEAN,4,-3.0430480241775513,-1.1964374780654907,-4.441916048526764,0.20243054628372192,4.644346594810486,0.5694881677627565,0.6918407082557675,0.7897227406501768,-10.593510389328003,0.8141932487487793
W0,historical,NS,ALL,new_nll,PROMPT,1280,11.052745598170441,10.796677589416504,7.9620362520217896,13.705802917480469,5.743766665458679,16.57700366973877,18.501877403259275,21.292243270874025,0.004071993753314018,26.75540542602539
