L2_work,W0_net_squared,actual_step_norm_sum,actual_step_squared_sum,alias,arm,batch,batch_net_magnitude_share,batch_net_norm,batch_net_squared,batch_net_squared_share,endpoint_native_raw,frobenius_work,history_work,layer,materialized_nonzero,normalized_native_work,parameter_elements,provenance,raw_native_work,signed_predicted_progress,velocity_status
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,9,0.2927042206633907,9.100951981317762,82.82732696625169,0.39960960801470174,85.0024476124211,NOT_RECORDED,NOT_RECORDED,8,58720246,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,10,0.14898751319141518,4.6865546382087615,21.963794376916056,0.1036575615577371,22.853200013874805,NOT_RECORDED,NOT_RECORDED,4,58720236,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,10,0.15469126319599963,4.86597192940702,23.67768281777707,0.11174621388769894,24.52981534240916,NOT_RECORDED,NOT_RECORDED,5,58720228,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,10,0.179266447273449,5.639009484406904,31.798427965231017,0.15007186134056388,32.75635152164902,NOT_RECORDED,NOT_RECORDED,6,58720231,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,10,0.22532704683366017,7.087892762499114,50.238223812687316,0.23709800265149844,51.70632334984986,NOT_RECORDED,NOT_RECORDED,7,58720238,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,llama3-8b-inst,O_NATIVE,10,0.291727729505476,9.176594162300434,84.2098804195664,0.3974263605625016,86.68956366567872,NOT_RECORDED,NOT_RECORDED,8,58720242,NOT_RECORDED,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_OFFICIAL_ONE_PASS
3.4126498225833997e-06,NOT_RECORDED,0.0021824338859752256,1.706337151139662e-06,llama3-8b-inst,JV_NATIVE,1,0.00017334631791286997,0.0021800111100297812,4.7524484398532795e-06,3.200704566587997e-08,4.7524484398532795e-06,3.4126498225833997e-06,0.0,4,58654231,4.06163825173669e-09,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,3.4126498225833997e-06,2.3845065766980003e-05,NOT_RECORDED
0.00012010984267669594,NOT_RECORDED,0.012474296319415053,6.005493238464253e-05,llama3-8b-inst,JV_NATIVE,1,0.0009904150531916671,0.012455504365450782,0.00015513958899776348,1.04484245804686e-06,0.00015513958899776348,0.00012010984267669594,0.0,5,58708311,1.429513008329826e-07,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,0.00012010984267669594,0.00040702518723700605,NOT_RECORDED
0.0006282371222463013,NOT_RECORDED,0.028652968825696862,0.00031411854953190523,llama3-8b-inst,JV_NATIVE,1,0.0022745273870342507,0.02860455897479167,0.0008182207941423346,5.5105974645134285e-06,0.0008182207941423346,0.0006282371222463013,0.0,6,58714907,7.477098617006427e-07,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,0.0006282371222463013,0.0011749911420732915,NOT_RECORDED
0.09598454828250663,NOT_RECORDED,0.35321942962207614,0.04799227321168058,llama3-8b-inst,JV_NATIVE,1,0.028042061719885266,0.35265823256896545,0.12436782899866652,0.0008375991517857612,0.12436782899866652,0.09598454828250663,0.0,7,58719804,0.0001142380651832521,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,0.09598454828250663,0.01589732937326582,NOT_RECORDED
108.23782848419924,NOT_RECORDED,12.201478507010242,54.118911629579394,llama3-8b-inst,JV_NATIVE,1,0.968519649521976,12.180146781665787,148.35597562292344,0.9991558134012462,148.35597562292344,108.23782848419924,0.0,8,58720242,0.12882156896002334,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,108.23782848419924,0.6418247128764178,NOT_RECORDED
3.27236366740575e-06,NOT_RECORDED,0.0019962235272303636,1.6361944250535531e-06,llama3-8b-inst,JV_NATIVE,2,0.00014750409746159363,0.001993978177242062,3.975948971317577e-06,2.3114327851572448e-08,3.996969749631645e-06,3.27236366740575e-06,1.7238386725883247e-08,4,58649471,3.4616071212805906e-09,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,3.2896020541316334e-06,2.2807691365532383e-05,NOT_RECORDED
4.3265041124384044e-06,NOT_RECORDED,0.0014708009564839474,2.1632554535940943e-06,llama3-8b-inst,JV_NATIVE,2,0.0001088021775302892,0.0014708009564839474,2.1632554535940943e-06,1.2576166379848154e-08,2.1751278118960557e-06,4.3265041124384044e-06,2.374436489272095e-08,5,58621601,4.577712094250441e-09,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,4.350248477331125e-06,6.479059054303047e-05,NOT_RECORDED
0.0009001006427909355,NOT_RECORDED,0.03163873317278036,0.00045005035104290987,llama3-8b-inst,JV_NATIVE,2,0.0023367032592964934,0.0315878364459725,0.0009977914113375086,5.8006976386056314e-06,0.001003763669544403,0.0009001006427909355,5.369818706763653e-06,6,58715702,9.528152481826717e-07,58720256,SH2_PUBLICATION_SH1_RECOMPUTED,0.0009054704614976991,0.001291220053770447,NOT_RECORDED
