phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
3,c0,3,5,accepted_z,1000,884,200,140,100,54,100,94,200,193,1.3924069177429192,8.102743103504181,100,98,100,100,0.09373433708911762,9.341002924442291,f8420e03e7f74235f8317fb0f10ba5f5e9b77cf2f067fb3faae1a5014f8ec44f
3,c0,3,5,post_writer_W,1000,881,200,104,100,34,100,75,200,172,2.325666996096261,6.419614992514252,100,98,100,100,0.09433014325099066,9.333890280723573,770365c6ea80414b40d218d343a14a3abec3b0043289f772c60dbff24eeadc42
3,c0,3,5,pre_writer_W,1000,884,200,94,100,30,100,71,200,167,2.507342416602187,6.186171281784773,100,94,100,100,0.2923565570032224,8.541551861763,d7a09b27b055cc2a802a1a3032ef14ab71acba0e76523e1429e5846c27d9e455
3,c0,3,6,accepted_z,1000,881,200,141,100,56,100,94,200,193,1.327437146709999,8.383178181648255,100,99,100,100,0.04941179589834064,9.928780765533448,2b7de77aae910063db19d48b715a9f0987ae340ce2ba11a30e4a039d6594731c
3,c0,3,6,post_writer_W,1000,880,200,106,100,34,100,76,200,172,2.246940011009574,6.551727539896965,100,99,100,100,0.04929784964304417,9.932866315841675,e9f0985623f77f244930c3224e33a08be9dab154c9ad873a2e7a17ea0bd8ed52
3,c0,3,6,pre_writer_W,1000,881,200,104,100,34,100,75,200,172,2.325666996096261,6.419614992514252,100,98,100,100,0.09433014325099066,9.333890280723573,770365c6ea80414b40d218d343a14a3abec3b0043289f772c60dbff24eeadc42
3,c0,3,7,accepted_z,1000,880,200,140,100,56,100,94,200,193,1.2881962946755812,8.58565699338913,100,100,100,100,0.028290398340905087,10.347389869689941,6756475fb3390f107b069d587c41280497c672c97ca27fb6ed7f088d8ee9b498
3,c0,3,7,post_writer_W,1000,882,200,108,100,34,100,76,200,174,2.202012616172433,6.663490843847394,100,100,100,100,0.028049971702275796,10.349028053283691,e0b8f8d6a7f6bb91b03d96129d5d9d2bb22d9db6e83015541b05cbd8173f92e1
3,c0,3,7,pre_writer_W,1000,880,200,106,100,34,100,76,200,172,2.246940011009574,6.551727539896965,100,99,100,100,0.04929784964304417,9.932866315841675,e9f0985623f77f244930c3224e33a08be9dab154c9ad873a2e7a17ea0bd8ed52
3,c0,3,8,accepted_z,1000,882,200,139,100,56,100,95,200,194,1.2606072036756086,8.741672673523427,100,100,100,100,0.019490916684735567,10.720759267807006,bdde1f0b9b4b42d02006df295e64b78129590e7af5af0db858e26e1e5e654aad
3,c0,3,8,post_writer_W,1000,882,200,108,100,34,100,77,200,176,2.169221383250551,6.7461847865581515,100,100,100,100,0.019417009482858703,10.720270733833313,ac233a1e4cd08ce1bcb30e6499a440ab6e83b2484d2dd215c0577a7acc804833
3,c0,3,8,pre_writer_W,1000,882,200,108,100,34,100,76,200,174,2.202012616172433,6.663490843847394,100,100,100,100,0.028049971702275796,10.349028053283691,e0b8f8d6a7f6bb91b03d96129d5d9d2bb22d9db6e83015541b05cbd8173f92e1
3,c0,4,1,accepted_z,1000,848,200,21,100,5,100,24,200,66,6.431102295070887,4.846690959334373,100,7,100,38,5.672499040216207,4.575624614059925,d722edc807eb91500470fad1432e86295f61b425546f61b5c3d9fedb4ca5b308
3,c0,4,1,post_writer_W,1000,845,200,11,100,2,100,19,200,55,6.913963268026709,4.756895223334432,100,7,100,39,5.436900395154953,4.598147141635418,71e690c6b36f74e64002fc119fcca9da2f632d372ab0784045f29030242e31d6
3,c0,4,1,pre_writer_W,1000,848,200,2,100,0,100,8,200,25,9.41350148320198,4.1087321388535205,100,3,100,13,9.795409773588181,3.8199372016638518,623427b598235a1d94b1163f9909c434549779c1f8f472c2b9f6968baee89f27
3,c0,4,2,accepted_z,1000,845,200,57,100,16,100,67,200,149,3.698806918039918,5.981259473487735,100,48,100,87,2.2934464651346205,5.754828277230263,bd7f636ee3578029003d8584f74fac645ee3484253081b82ac6122f372c20207
3,c0,4,2,post_writer_W,1000,844,200,33,100,8,100,50,200,121,4.653739102482795,5.495876955911517,100,48,100,87,2.2252857463806865,5.740803328156471,605ea9e5cb4f91a3a025d434207c46033a8b580fcb41d19f884f784bb8140fb4
3,c0,4,2,pre_writer_W,1000,845,200,11,100,2,100,19,200,55,6.913963268026709,4.756895223334432,100,7,100,39,5.436900395154953,4.598147141635418,71e690c6b36f74e64002fc119fcca9da2f632d372ab0784045f29030242e31d6
3,c0,4,3,accepted_z,1000,844,200,106,100,34,100,89,200,183,2.3454485419770936,7.253091159462929,100,82,100,96,0.8763039772654884,7.87852442741394,4d3cf54c8c76b31d34e86f065ba78caa8c537e074b39c5985c632757058e6b68
