group,lambda_value,node_denominator,baseline_lambda,analysis_type,gain_ratio_min,gain_ratio_median,gain_ratio_max,qN_ratio_min,qN_ratio_median,qN_ratio_max,response_norm_ratio_min,response_norm_ratio_median,response_norm_ratio_max,l8_native_velocity_share_min,l8_native_velocity_share_median,l8_native_velocity_share_max,l8_native_velocity_share_delta_pp_min,l8_native_velocity_share_delta_pp_median,l8_native_velocity_share_delta_pp_max,native_angle_degrees_min,native_angle_degrees_median,native_angle_degrees_max,native_turn_fraction_min,native_turn_fraction_median,native_turn_fraction_max,physical_native_relative_change_min,physical_native_relative_change_median,physical_native_relative_change_max,support_change_min,support_change_median,support_change_max,support_changed_count
Llama_all40_including_B10,1.0,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.8093641213488635,0.8483246881139324,0.9999997586866284,0.5186296733251353,0.5637170833517202,0.9999995121643598,0.8216673483253445,0.8586232452510916,0.9999997586866293,0.0,0.9683529141015681,0.9755455191267381,-3.8322267673129073,-2.929661979979442,5.101110684682317e-07,0.0,8.48361109973397,9.69438630557918,0.0,0.021764301770779648,0.02835613577997842,2.439178497023341e-07,0.27973777844610437,0.3079958823902474,0,0.5,1,20
Llama_B1_B9_36_diagnostic_stratum,0.001,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0199385247852464,1.0236543824108462,1.0309601872838183,1.0850343905457105,1.089809497466125,1.105257733938696,1.0196945859713127,1.0234092750588024,1.0306491046411685,0.9999482677358328,0.9999937053997496,0.9999981790682863,0.050967273781854505,0.07051186729102876,0.09729335495174407,1.1793568402692938,1.3598168717587784,1.576735753185897,0.00042362722211841675,0.0005631659302303138,0.0007571168852719135,0.047699875199536855,0.05032795094241266,0.057284660749380184,0,0.0,1,17
Llama_B1_B9_36_diagnostic_stratum,0.0017782794100389228,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0197747415491092,1.023460135756736,1.0307043450055229,1.084309330009545,1.0890418238650676,1.1043514669589782,1.0195309008081714,1.0232151331919284,1.0303934135156418,0.9999451671768235,0.9999927014906991,0.9999979383029169,0.05089150261432529,0.07041765911214304,0.09698329905081238,1.1694233594065329,1.3486230092171496,1.5637024320713881,0.00041652201202890815,0.0005539339716657543,0.0007446550329571755,0.04730060072343996,0.049906304578467856,0.05679964981247617,0,0.0,1,17
Llama_B1_B9_36_diagnostic_stratum,0.0031622776601683794,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.01948378185909,1.0231150540091911,1.0302499037648065,1.0830223737617943,1.0876793085710625,1.1027433585824196,1.019240196533755,1.0228703179655332,1.0299393426882453,0.9999394355129234,0.9999908949455716,0.999997341474768,0.05074195512237978,0.07023028224075745,0.09641013266080689,1.1517704502803956,1.3287380412236325,1.540552060830281,0.00040404347670786045,0.0005377222096593082,0.0007227745195376167,0.0465914916196369,0.049157591199622236,0.05593852023960079,0,0.0,1,16
Llama_B1_B9_36_diagnostic_stratum,0.005623413251903491,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0189672969583294,1.0225024841726174,1.0294434126941663,1.0807413769994179,1.0852646355306748,1.0998946723702059,1.018724420388515,1.0222584741645702,1.0291338295188888,0.9999285561094373,0.9999875623983516,0.9999959208305809,0.050429323172695995,0.06983460750602521,0.09532219231219718,1.1204153960474137,1.2934427572629394,1.4994678337894582,0.0003823468468938662,0.0005095394082244575,0.0006847466097513744,0.04533337654610206,0.04782960977903312,0.05441146515068181,0,0.0,1,16
Llama_B1_B9_36_diagnostic_stratum,0.01,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0180517449473179,1.0214165685634926,1.0280143802464299,1.0767088961994171,1.0810021741721,1.0948633616460308,1.0178109246165414,1.0211746386520288,1.0277075334694348,0.9999070512196341,0.9999801118510461,0.999991217657253,0.04972640623769342,0.06893512474739905,0.09317170333187352,1.064774100196619,1.2308847800722051,1.4266715870057636,0.00034531838119644664,0.00046145056167579135,0.000619887674328301,0.04310516550362916,0.04547889955237751,0.051709382901426446,0,0.0,1,16
Llama_B1_B9_36_diagnostic_stratum,0.01778279410038923,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0164327301121294,1.0194961812629328,1.0254892397824462,1.0696122233397325,1.0735107282350806,1.086023716963514,1.0161980328587894,1.0192604002144185,1.0251903468643058,0.9998620620662527,0.9999611943553666,0.9999760777523161,0.04801553229234479,0.06665261484006257,0.08867278799373768,0.9662013941801795,1.120287894455279,1.298043468818117,0.00028434715481939765,0.0003822620959253453,0.0005131672182400182,0.03917127668249259,0.04133249799081483,0.046946497910122224,0,0.0,1,15
Llama_B1_B9_36_diagnostic_stratum,0.03162277660168379,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.013581949148856,1.0161144395121375,1.0210488158135798,1.057221754399835,1.0604293766965607,1.0706358302330214,1.0133656664194295,1.0158970932013456,1.0207734692404733,0.9997611517339079,0.999900794859468,0.999931505803943,0.043667523535706465,0.060838838595511646,0.07953937922116072,0.7959083427930821,0.9256360940399841,1.071869839957204,0.00019295361272386735,0.00026097581921447066,0.0003499356366734041,0.032295948944114736,0.03406393459213126,0.038608395973300236,0,0.0,1,9
Llama_B1_B9_36_diagnostic_stratum,0.05623413251903491,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0085993283633925,1.0102031039157469,1.0133061332315123,1.0358851714701733,1.0378991678128098,1.0441850997103275,1.0084381350501643,1.0100409384046967,1.0131010985313373,0.9995339572853542,0.9997427669982836,0.9998155480511113,0.032152706125132546,0.04477561889801307,0.05840718662539768,0.5045539542713984,0.5857110320377299,0.677544326199883,7.754588151742681e-05,0.00010449837285547714,0.00013983307782183818,0.02037806260868194,0.021460842887992583,0.02427785429786079,0,0.0,1,3
Llama_B1_B9_36_diagnostic_stratum,0.1,36,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989753341863153,0.9992894417722287,0.9994859402906316,0.0,0.0,0.0,0.0,0.0,1.2074182697257333e-06,0.0,0.0,4.440892098500626e-16,1.3540947871807107e-17,1.8016620490480906e-16,5.556796261650433e-16,0,0.0,0,0
