endpoint,panel,metric,denominator,baseline_success_denominator,lost,gained,unchanged_success,unchanged_failure,loss_rate_among_baseline_success,paired_identity_root
Middle-B060,cohort_B025,PS,200,195,0,0,195,5,0.0,5f021bc933d10afd4f77384d52f2ae160085de6fad5ec5b3a9a9dc20d18994c3
Middle-B060,cohort_B025,NS,1000,705,9,11,696,284,0.01276595744680851,4707e190f3ce4a787de5966a170ebddaaf2ca5e70e883d85a6e86ac4d61d5263
Middle-B060,cohort_B026,RS,100,100,0,0,100,0,0.0,8cffbe36ac9a6fe77b057b4cacce70e4c2ca89099a66b4082d3d6d95585c866b
Middle-B060,cohort_B026,PS,200,193,0,0,193,7,0.0,ef93e102b75c6fd4ea3cab37bf9c077a8b4eb15a17d2f9ae0f9add32503450dc
Middle-B060,cohort_B026,NS,1000,691,7,10,684,299,0.010130246020260492,a3fdd7d01662e771e25810eace4d17a7225baf10d81cfaef36e6d957db025e61
Middle-B060,cohort_B027,RS,100,100,0,0,100,0,0.0,5225e7fb80f1891260ca3887ea2abe7c6714b5574111ee975404652c73cd5da8
Middle-B060,cohort_B027,PS,200,190,0,1,190,9,0.0,a74947cf5187b8dcbcb47560bd79372f5532256d742925a8b6fc30c8de36fb78
Middle-B060,cohort_B027,NS,1000,731,4,11,727,258,0.005471956224350205,3099bba3be537b21f941032300d20bef874a65bd9cf3bec9c317b9b140807122
Middle-B060,cohort_B028,RS,100,99,0,0,99,1,0.0,bf0361f1d1cc31a8eb01eb017fe457942b12d65120e3d65e72dc69665c40d503
Middle-B060,cohort_B028,PS,200,192,0,0,192,8,0.0,82a6c11a80d7360d858825526b019441cb4f63fa17c271f19d33f752eb520ead
Middle-B060,cohort_B028,NS,1000,670,6,3,664,327,0.008955223880597015,fca62107b07907c80bfe3ebac6f776c1fe072c290e668e29dc1fcc6847e7145c
Middle-B060,cohort_B029,RS,100,100,0,0,100,0,0.0,338016967635e081ff144a3507df04ca2a9d99f560fdbee27b20ed45bd04e74b
Middle-B060,cohort_B029,PS,200,191,0,1,191,8,0.0,900436500c7fa0ab1de68e0e785b08ae331247f639b5b5227d162a70211880b7
Middle-B060,cohort_B029,NS,1000,651,7,4,644,345,0.010752688172043012,8a997350ebe85cab2bac05f97c82cde1f63926c552c13e1c2ac27c1a2d841312
Middle-B060,cohort_B030,RS,100,100,0,0,100,0,0.0,a14e90c70a22a765d9fea596b69a651d2cb803cffef745661382de5e34b36452
Middle-B060,cohort_B030,PS,200,187,0,1,187,12,0.0,c7188e4946ac5f75c142200b182990a2f19fd40b577ee4e6270ed7b182ba77f2
Middle-B060,cohort_B030,NS,1000,663,4,8,659,329,0.006033182503770739,254b05351131b5fa25d2621e94559bfcd7a02b12cb0a89fd016112ce61e1c9a3
Middle-B060,cohort_B031,RS,100,100,0,0,100,0,0.0,db5c5a8f8b6a32a6bb145524a2df6fc918363f458bb96ea656c8b3bd13876dce
Middle-B060,cohort_B031,PS,200,194,0,0,194,6,0.0,977d34d46825f0583ac0b4ca1c6bfe3cf235b21c062c4e5bf4a8302e9e7c49cf
Middle-B060,cohort_B031,NS,1000,688,7,5,681,307,0.010174418604651164,15ff855efcf72998ff333490712d599a63cbd114cf6132000f8c664fd00c5119
Middle-B060,cohort_B032,RS,100,100,0,0,100,0,0.0,b5c6eef2105b7fb98a1e2259cd4893c36a02ac710e04e32057f5ed887abeb3ba
Middle-B060,cohort_B032,PS,200,199,0,0,199,1,0.0,72c04cde4c9fcea0b123b55e081fad72788590ba155290a0fb38818eb48acc19
Middle-B060,cohort_B032,NS,1000,727,5,6,722,267,0.0068775790921595595,7ee2b44c078e542568215352329a2c710a50cb3f750b57a8fac97caeac6fcdd0
Middle-B060,cohort_B033,RS,100,100,0,0,100,0,0.0,8a00aae1df7b4b0d585fb38415d38afe37ac4246360ee4a1039da9f8f8311203
Middle-B060,cohort_B033,PS,200,193,0,0,193,7,0.0,99eebd39ff6980a27776644463c4cade75a4d08e8e361a9f0c9aaa579b8ebb06
Middle-B060,cohort_B033,NS,1000,645,7,6,638,349,0.010852713178294573,ea36c288610d89d4f6d91bcf179297edd736d494730e728c3c722d654b4941bb
Middle-B060,cohort_B034,RS,100,100,0,0,100,0,0.0,f3a275ac2dd4e38296f7c1dbe2734e4bb8ff6cc1dc5f884335e7a492389ff746
Middle-B060,cohort_B034,PS,200,196,0,0,196,4,0.0,9988a69c99bd5a9842c67cc2ca98ceffaecf1b4b5395277f16703a35034e6176
Middle-B060,cohort_B034,NS,1000,703,6,6,697,291,0.008534850640113799,ab98accc689245411d9aca84fecd5a9ca0c2fc848318278df8e39a289090b9c7
Middle-B060,cohort_B035,RS,100,100,0,0,100,0,0.0,75cd3f03d2d488f352762566f04bcae2ca790eea74bb302f9282a5f3e33cd131
Middle-B060,cohort_B035,PS,200,193,0,0,193,7,0.0,4a82c085bbeab89ecb4b38d924d5a6d5f27ce6d9ff1e14df70d64775f1eae7c3
Middle-B060,cohort_B035,NS,1000,691,4,8,687,301,0.005788712011577424,9cb579f4533ff1b9772d6c2567d51ff6732ebea3dcbaea2b7eb7d7f467741e9a
Middle-B060,cohort_B036,RS,100,100,0,0,100,0,0.0,eb0ae0de1b519b98eea50eb177a9210ce1c07b844e435d9ce87ca279a4d52ba7
Middle-B060,cohort_B036,PS,200,196,0,1,196,3,0.0,b42a8abc78051fa08c55d4c3449d238c4c01d67da0cf45498fd15ee8d5fb75df
Middle-B060,cohort_B036,NS,1000,673,4,13,669,314,0.005943536404160475,964703f33bb04592bf99b5aa3b31b4171b15ddf68b2051d0c839512a4af9fb9b
Middle-B060,cohort_B037,RS,100,99,0,0,99,1,0.0,e9c8a78602647bf27aceb1c1ccd0978d0005db01df343ea43ba9002b298c5654
Middle-B060,cohort_B037,PS,200,193,0,1,193,6,0.0,7bc64c4fc4d50b1f952e40ec85346fcf158790c98d03134b67fa0c3dc56f45ac
Middle-B060,cohort_B037,NS,1000,712,6,7,706,281,0.008426966292134831,d47dac9929191302e5974c904fa3f3309b450ff72e6a870e88b9947082251b67
Middle-B060,cohort_B038,RS,100,100,0,0,100,0,0.0,e34fb3c93e573a98202e11198c14bb16db55848073541ff1c8debc5ce52c962c
Middle-B060,cohort_B038,PS,200,193,1,2,192,5,0.0051813471502590676,219e40a40ceafa235a1a3837f5a0ef7c177fefef3c5e8272ed4e88f4d1f72408
Middle-B060,cohort_B038,NS,1000,724,8,11,716,265,0.011049723756906077,4483431e223b3345713a4ca38b7637b20706585d62459b5732d7da457883fdee
Middle-B060,cohort_B039,RS,100,100,0,0,100,0,0.0,352255617d34c780148d4e9c569a0a95ec137876c8f8e41ebe5108603cb1f143
Middle-B060,cohort_B039,PS,200,195,0,1,195,4,0.0,8ffd16ee20baf5513e6ece81f409fb3a803d6db57db2a5934f50fff22b349662
Middle-B060,cohort_B039,NS,1000,731,3,5,728,264,0.004103967168262654,676467cabd13d9cadc67338479f804cff95beafc40539ba5b71d00398902f2be
Middle-B060,cohort_B040,RS,100,100,0,0,100,0,0.0,24e9dc00f43fc01880caffb5b0b5863d23e494c11c16b59640ddc576c8489fb3
Middle-B060,cohort_B040,PS,200,198,0,0,198,2,0.0,8ede74599a54ea88e0af211d0a29b80ba6f036a5b42625cfeb7f70f4bc7228e4
Middle-B060,cohort_B040,NS,1000,622,4,7,618,371,0.006430868167202572,ee1ec322f4a8f2d455fc30ac00759e50c5e4a4df10cc187d797b18f78ad8947e
Middle-B060,cohort_B041,RS,100,100,0,0,100,0,0.0,8dcc6ef03c42bf3aa90b450cb88bba9018dacc01dbdc5e7b03e6fb51d28e61bf
Middle-B060,cohort_B041,PS,200,195,0,0,195,5,0.0,2fec1b9664808da93be42c0d46e65439d93e9fe99c30f265c08ddc62f97963fd
Middle-B060,cohort_B041,NS,1000,693,6,10,687,297,0.008658008658008658,56ae7637293a5ccece469cfb907083422c5b6b5f33e63ff89d853412d3fc9f55
Middle-B060,cohort_B042,RS,100,100,0,0,100,0,0.0,56e437437a970d189421cb61b7f7ade5d43c8bbfe47f52ef7f4b26029485a073
Middle-B060,cohort_B042,PS,200,194,0,0,194,6,0.0,84fa12cdd5dd056789b0386ab20c02556f484d05ff97ad309659bfbcdfa63046
Middle-B060,cohort_B042,NS,1000,681,6,4,675,315,0.00881057268722467,aafe6c0f817651aa5a69927e9e881017fcd1230e43396479f9498de1b41bf828
Middle-B060,cohort_B043,RS,100,100,0,0,100,0,0.0,210bced1a14659371d414553520f055663a7cb078fc14bcd408dfa93a17ec83b
Middle-B060,cohort_B043,PS,200,199,0,0,199,1,0.0,678e336c0ac679dffe63607ab1e5ac04b9bdafbb58e55007bd4cd823727294f0
Middle-B060,cohort_B043,NS,1000,723,7,6,716,271,0.009681881051175657,ae63f5eb60ec07015f847ecfc3a80f2a5c034abf5e98cd730cb2cf301fe4fc4b
Middle-B060,cohort_B044,RS,100,100,0,0,100,0,0.0,fc7542b5ea8b7069cab5aa0de8bcc69d7d2e8c6ace1200db4c6389c54a4b1f85
Middle-B060,cohort_B044,PS,200,196,0,0,196,4,0.0,adafa21a8d6008a11745d17dbe65169b93960a0acb9486f57117cafd98e2e8c7
Middle-B060,cohort_B044,NS,1000,721,9,7,712,272,0.012482662968099861,de4feda094a3dd2bb717c9f62674cbb0c90050c0dab8185b318fbd662f42b483
Middle-B060,cohort_B045,RS,100,99,0,0,99,1,0.0,d6424c12571b3698315005c68cb244af08c37209883e57500bc48349d98b920a
Middle-B060,cohort_B045,PS,200,187,0,1,187,12,0.0,d13d516663e53d1684b4646ae013eb547af712f75fc5bc0a9c45c7fac1467d06
Middle-B060,cohort_B045,NS,1000,648,6,7,642,345,0.009259259259259259,e7ffe2918bddfce42626b52a7366f08ea028b606790c1948033112b6d6aba759
Middle-B060,cohort_B046,RS,100,100,0,0,100,0,0.0,f3f26c51b1fd81d9079dddf6c5ecbf95afe94013fd7eb6e01b966150cec41b6d
Middle-B060,cohort_B046,PS,200,194,1,1,193,5,0.005154639175257732,c66a287c2926078da818eb6c8622db49a68db41dedb5ef5044bdeb12912096fc
Middle-B060,cohort_B046,NS,1000,700,3,7,697,293,0.004285714285714286,a055dd38f3fe6142f9c4f791b6ca136e1160bbe84e2c44ecf16d87d11a04bed3
