model,path_id,node,comparator,layer,objective_improvement,joint_objective_improvement,native_cosine,Rturn,physical_coefficient_difference,outcome_evaluation,controller_influence_count
llama3-8b-inst,S-PATH-N8,7,SINGLE_LAYER_SHADOW,8,0.009827887516652064,0.009834178459676306,0.9995846024377056,0.000830622569454136,"[0.0, 0.0003398012379775234, 0.0031957794629733196, 0.03032503458172853, -0.024382241969651202]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,0,SINGLE_LAYER_SHADOW,4,0.039469091384235364,0.49641495996544477,0.0,1.0,"[-0.1543701382466734, 0.0003925567540148505, 0.0007797116200499039, 0.006520862897162212, 1.043622861060921]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,0,SINGLE_LAYER_SHADOW,5,0.08678565039198494,0.49641495996544477,0.00037789251193841446,0.9999998571972495,"[0.0, -0.2926784422496977, 0.0007797116200499039, 0.006520862897162212, 1.043622861060921]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,0,SINGLE_LAYER_SHADOW,6,0.16458111154446073,0.49641495996544477,0.0007036378336613223,0.9999995048937991,"[0.0, 0.0003925567540148505, -0.47329589813142786, 0.006520862897162212, 1.043622861060921]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,0,SINGLE_LAYER_SHADOW,7,0.27284069690690604,0.49641495996544477,0.006068629480179505,0.9999631717362323,"[0.0, 0.0003925567540148505, 0.0007797116200499039, -0.6937669685119743, 1.043622861060921]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,0,SINGLE_LAYER_SHADOW,8,0.4964004004798485,0.49641495996544477,0.9999812667381729,3.746617271924251e-05,"[0.0, 0.0003925567540148505, 0.0007797116200499039, 0.006520862897162212, -0.0061603458397625046]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,1,SINGLE_LAYER_SHADOW,4,0.009674556612320551,0.12651272794552987,0.0,1.0,"[-0.15203791214715007, 0.000363929101494272, 0.0010335814249365631, 0.006074542704080993, 1.05144417061899]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,1,SINGLE_LAYER_SHADOW,5,0.021112063860906975,0.12651272794552987,0.00034501430396797404,0.99999988096513,"[0.0, -0.28823734863178124, 0.0010335814249365631, 0.006074542704080993, 1.05144417061899]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,1,SINGLE_LAYER_SHADOW,6,0.03979881051628701,0.12651272794552987,0.0009217370693422235,0.999999150400775,"[0.0, 0.000363929101494272, -0.46677308032798975, 0.006074542704080993, 1.05144417061899]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,1,SINGLE_LAYER_SHADOW,7,0.06743408262094819,0.12651272794552987,0.0055959923954407775,0.9999686848691102,"[0.0, 0.000363929101494272, 0.0010335814249365631, -0.6907919684430929, 1.05144417061899]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,1,SINGLE_LAYER_SHADOW,8,0.12650917647541537,0.12651272794552987,0.9999838579872252,3.2283764984773114e-05,"[0.0, 0.000363929101494272, 0.0010335814249365631, 0.006074542704080993, -0.00584031768203664]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-LAM-001,2,SINGLE_LAYER_SHADOW,4,0.0023802756157416975,0.03225454509354525,0.0,1.0,"[-0.1497035391809048, 5.110986855627155e-05, 0.0014603869659944404, 0.005693447273850302, 1.0594611061319814]",NOT_EXECUTED_SHADOW_ONLY,0
