entry,branch,layer,preM,postM,key,validation,independent_fullM,reused
70,MASS56,8,66dadc4e94f3c48473c889e09376dcbd429b8c5de6222098bd1f1548a64aefd0,d59ae53404b714d407ae63632f66e007fcf0de3bb21e7125901b1d4d5692b629,6e8be891920ca8299283f27ade5685207c220598ba0d5ce09913674983dcac61,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,NATIVE,4,9a3a12409e070c59aab8d9959b135b4f45ca2df42ab8e9b1f2f3841ca2083453,59793d833d9b6e9c790f9143c506e4afa70222768418e0ca512db527849f25cd,fdb5dfb5a7095c03ce25180d0c2f6ced2a75abc07e94199b7494b7ea1619dd20,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,NATIVE,5,4536769cf7a3440905c9de56883a4e01a1ccebb1a486e794f1256b7de982688d,f5c4a63c02e486facc04b9ba548bf987d11112ba734c9d60fbd6963689c63402,770c54fa2cac508b3691b18da8a31b4a33d2490c94f65cd30d43b5571ffba3e8,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,NATIVE,6,5cc32b129d27fd01770d5596fd4564da822492a804132d83f204e5950acf41aa,32912e15af211a1d1e8468518cbb2578ff1b9775a987d0c14444b5a0a39189e5,04686bf639f71ef25fc76b6c735079cdfaa4b8a30ee81b20a695d2d348b8bdd4,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,NATIVE,7,ed9637f29e8fa56d004ad103b619851b5fc08ca132c1ac56012be09ed1807f1c,84b34d7bc8733a1c3a1c6b9012921c2be765a88e40088bfd58856e3e534a1926,93ab6642ba6618b8ae287bd7ef1f5ca290695c90fb76a2bf521579a6f1bcf7f0,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,NATIVE,8,0d1e59b124bd8663f8e53470f6da4832b355e16ee279ad0eea65aeca95164cc4,a93278c7ffa024df8e5c2619871354cb4ebf7a8c50e92f8c8b93fd6d7ef6417b,9d1ca5db53424f8cafce4a809bc77755fcb6f521bc37b7c250297ff5323e391a,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,SHAM,4,9a3a12409e070c59aab8d9959b135b4f45ca2df42ab8e9b1f2f3841ca2083453,59793d833d9b6e9c790f9143c506e4afa70222768418e0ca512db527849f25cd,fdb5dfb5a7095c03ce25180d0c2f6ced2a75abc07e94199b7494b7ea1619dd20,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,SHAM,5,4536769cf7a3440905c9de56883a4e01a1ccebb1a486e794f1256b7de982688d,2ddda147aed34a8bd173f733c246c9aa3b99b2eec9066f05e339142a32401650,f5fdad0a50d056e9d486b8517a5384e1811ab5184b7ccc6830d9a4d3fb04a148,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,SHAM,6,5cc32b129d27fd01770d5596fd4564da822492a804132d83f204e5950acf41aa,cb66096fcbe50a79b120dee0daacadf3fa85cd17127436cd1e4d184a48110258,266d8bbe4e1a4d2609008b9f47a832056ddc30384b89d6f101e039c7af764e39,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
80,SHAM,7,ed9637f29e8fa56d004ad103b619851b5fc08ca132c1ac56012be09ed1807f1c,f3197d460b95041db162e30e1c1ff50637b290b6a3bf1234c83c3dc329a39794,caa5ada2b221174c8fe61d288214f8b0fecda68db468d0fdada7c604c30b5c0b,ORIGINAL_SOURCE_ONCE_PATH_AND_KEY_CALL_COUNT_PLUS_M_HASHES,NOT_PERFORMED,False
