entry,branch,stage,panel,metric,numerator,denominator,percent,ties,token_correct,target_tokens,token_micro,prompt_macro,strict_count,unique_strict_count,new_nll_mean,true_nll_mean,desired_nll_mean,desired_margin_mean,desired_margin_p01,desired_margin_p05,desired_margin_median,desired_nll_p95,desired_nll_p99
50,L5/components/mean,component,N512,NS,351,512,68.5546875,0,86,512,0.16796875,0.16796875,86,86,7.152898016098334,4.77119383466561,4.77119383466561,2.381704181432724,-8.22092245362699,-5.586343230679631,2.0284390449523926,10.892850017547605,12.928653917312621
50,L5/components/mean,component,H512_ALL,RS,487,512,95.1171875,0,421,516,0.8158914728682171,0.818359375,417,417,0.9583097178305806,9.808429418713786,0.9583097178305806,8.850119700883205,-5.412935225963593,0.1622957229614258,8.63585679908283,5.8757051706314085,10.890618839263903
50,L5/components/mean,component,H512_ALL,PS,903,1024,88.18359375,0,616,1032,0.5968992248062015,0.5966796875,608,608,2.1846707824435114,8.401038629097457,2.1846707824435114,6.216367846653945,-7.241584877967834,-3.015480089187622,6.483734115958214,8.565843248367296,11.941134748458861
50,L5/components/no,component,Current,RS,82,100,82.0,0,51,101,0.504950495049505,0.505,50,50,2.750617265903857,6.97531795501709,2.750617265903857,4.2247006891132335,-5.494149603843689,-3.8979946434497834,4.246218204498291,9.406052637100219,11.604555082321198
50,L5/components/no,component,Current,PS,142,200,71.0,0,74,202,0.36633663366336633,0.365,72,72,3.8410848659300245,6.877582701295614,3.8410848659300245,3.03649783536559,-8.330413570404053,-5.388063889741898,3.1600837111473083,10.811901855468749,14.462016162872313
50,L5/components/no,component,Current,NS,644,1000,64.4,0,166,1030,0.16116504854368932,0.1505,137,137,7.360966145362705,5.489222665899899,5.489222665899899,1.871743479462806,-11.08604945031926,-7.242755508422851,1.687650203704834,11.797515726089477,13.808369150161738
50,L5/components/no,component,N512,NS,352,512,68.75,0,86,512,0.16796875,0.16796875,86,86,7.155368485968211,4.770990432149119,4.770990432149119,2.3843780538190913,-8.210245956629514,-5.5614075511693954,2.029473304748535,10.910993289947509,12.985364952087401
50,L5/components/no,component,H512_ALL,RS,487,512,95.1171875,0,421,516,0.8158914728682171,0.818359375,417,417,0.9546652406659106,9.81932677689474,0.9546652406659106,8.86466153622883,-5.4215231239795685,0.1764962673187256,8.65223265858367,5.857700157165527,10.883906726837145
50,L5/components/no,component,H512_ALL,PS,903,1024,88.18359375,0,616,1032,0.5968992248062015,0.5966796875,608,608,2.1795354267015234,8.407184961095481,2.1795354267015234,6.227649534393958,-7.2333990621566775,-2.9915298938751222,6.486809998750687,8.544863128662103,11.956884326934814
50,L5/interchange/rank1-off-from-on,component,Current,RS,82,100,82.0,0,52,101,0.5148514851485149,0.515,51,51,2.744964123128448,6.979087207317352,2.744964123128448,4.234123084188905,-5.493920555114746,-3.896215707063675,4.2584697008132935,9.374906587600707,11.614957275390656
50,L5/interchange/rank1-off-from-on,component,Current,PS,142,200,71.0,0,74,202,0.36633663366336633,0.365,72,72,3.846346357127186,6.865153116583824,3.846346357127186,3.018806759456638,-8.323323616981506,-5.3886455535888675,3.1269149780273438,10.823523998260496,14.457701454162597
50,L5/interchange/rank1-off-from-on,component,Current,NS,644,1000,64.4,0,166,1030,0.16116504854368932,0.1505,137,137,7.360811841909774,5.488979060720187,5.488979060720187,1.871832781189587,-11.094599001929163,-7.242618000507354,1.6872096061706543,11.80857710838318,13.807090167999263
50,L5/interchange/rank1-off-from-on,component,N512,NS,351,512,68.5546875,0,86,512,0.16796875,0.16796875,86,86,7.155793235433521,4.7709616131396615,4.7709616131396615,2.3848316222938593,-8.21239972859621,-5.563904283940792,2.0350351333618164,10.911873912811277,12.983827562332152
