entry,kind,status,comparison,exact,field,layer,max_abs,relative_frobenius,metric,attention_mask_sha256,authority_user_text,blocks_execution,comparison_verdict,full_physical_max_abs,full_physical_rms,full_physical_valid_logits_bitwise_equal,input_ids_sha256,kernel,numerical_comparison_policy,sum_route_max_abs,sum_route_not_bitwise_assumed,sum_route_rms,threshold,tokens,vocabulary
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,6,1.430511474609375e-06,1.0077312655856144e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,6,3.4570693969726562e-06,1.1214868619852292e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,6,2.742744982242584e-07,3.164529849323053e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,7,8.940696716308594e-07,9.648761367706906e-07,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,7,4.0531158447265625e-06,1.0999689417645094e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,7,2.784654498100281e-07,4.903537997887342e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,K,8,1.2218952178955078e-06,1.482119063609144e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,R,8,6.67572021484375e-06,1.0448356701038415e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,delta,8,5.792826414108276e-07,4.020100969547784e-06,,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,1.9550323486328125e-05,,RS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.482269287109375e-05,,RS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,2.765655517578125e-05,,PS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,2.09808349609375e-05,,PS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.57763671875e-05,,NS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,5.14984130859375e-05,,NS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,3.528594970703125e-05,,N512,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.601478576660156e-05,,H512/RS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.673004150390625e-05,,H512/RS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,new_nll,,4.1961669921875e-05,,H512/PS,,,,,,,,,,,,,,,,
90,SHAM,OBSERVATION_ONLY_USER_DIRECTED,NUMERICAL_CONTROL_NOT_ESTABLISHED,False,true_nll,,4.291534423828125e-05,,H512/PS,,,,,,,,,,,,,,,,
90,HOOK,PASS,,,,L6,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,1.7404556274414062e-05,True,2.0625076757904212e-06,0,14,128256
90,HOOK,PASS,,,,L5,,,,ffa5cd9ede88d1a5b8cf8ae4dc540556a0fd11acbf095267d05080ce1ee34b50,이런 상대차는 크게 중요하지 않으니 실험에서 이런 gate들은 전부 관찰만 해,False,PASS,0.0,0.0,True,65067f9a94e398e89b1b82eee9a9183e677a8c92556e34749c5914c29e8be781,"F.linear(input,FP32(U+delta))",OBSERVATION_ONLY_USER_DIRECTED,1.621246337890625e-05,True,1.996482855710213e-06,0,14,128256
