comparison,metric,paired_n,n,sum,mean,median,p25,p75,iqr,p90,max,min,paired_mean_bootstrap95_low,paired_mean_bootstrap95_high,uncertainty_unit,uncertainty_cluster_n,bootstrap_seed,bootstrap_resamples
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rephrase_target_new,strict_rate,100,100,43.0,0.43,0.5,0.0,1.0,1.0,1.0,1.0,-0.5,0.33987500000000004,0.515,PAIRED_REQUEST_HASH,100,10363461776079658155,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rephrase_target_new,nll_mean,100,100,-1072.0124051753664,-10.720124051753665,-10.5762300491333,-14.271685242652893,-5.777111083269119,8.494574159383774,-3.993264031410215,0.18931055068969727,-36.25882852822542,-11.913617583961924,-9.52019218966691,PAIRED_REQUEST_HASH,100,16010940658174993590,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rephrase_target_new,margin_mean,100,100,1238.1416478157043,12.381416478157043,12.060037970542908,6.63502299785614,16.553387224674225,9.918364226818085,19.78528246879578,38.43838310241699,0.42805051803588867,11.096197730123995,13.738669514983892,PAIRED_REQUEST_HASH,100,12874106507078257049,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rephrase_target_new,strict_rate,100,100,17.0,0.17,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.115,0.235,PAIRED_REQUEST_HASH,100,2244991810423772740,2000
alphaedit:llama-minus-qwen:functional-10000:current:rephrase_target_new,nll_mean,100,100,-375.3381782528086,-3.753381782528086,-3.644891650415957,-7.200360283954069,-0.8020711918361485,6.3982890921179205,1.8127144248806888,5.690851449966431,-14.919441223144531,-4.603677693692049,-2.8374042895968636,PAIRED_REQUEST_HASH,100,8559259459536993617,2000
alphaedit:llama-minus-qwen:functional-10000:current:rephrase_target_new,margin_mean,100,100,430.64103627204895,4.30641036272049,3.7183756828308105,0.5134359002113342,8.266134977340698,7.752699077129364,11.031777143478395,17.584120750427246,-8.663987398147583,3.1892488624751567,5.402389524281025,PAIRED_REQUEST_HASH,100,17036084228176769382,2000
alphaedit:llama-minus-qwen:functional-10000:current:rephrase_target_new,strict_rate,100,100,34.5,0.345,0.5,0.0,0.5,0.5,1.0,1.0,-1.0,0.25,0.435,PAIRED_REQUEST_HASH,100,9887802978062362636,2000
memit:llama-minus-qwen:functional-10000:current:rephrase_target_new,nll_mean,100,100,-866.2260899236426,-8.662260899236426,-7.199868679046631,-13.616783797740936,-3.510114312171936,10.106669485569,-1.8274639129638655,7.922014236450195,-28.45770788192749,-9.988867165209726,-7.337766055501998,PAIRED_REQUEST_HASH,100,13120012258376891714,2000
memit:llama-minus-qwen:functional-10000:current:rephrase_target_new,margin_mean,100,100,999.1072540283203,9.991072540283204,8.694900274276733,3.935286045074463,15.640259027481079,11.704972982406616,19.952436876297,29.91190481185913,-9.85491418838501,8.490345039129256,11.532369561553,PAIRED_REQUEST_HASH,100,10752524878189626132,2000
memit:llama-minus-qwen:functional-10000:current:rephrase_target_new,strict_rate,100,100,8.5,0.085,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.04987500000000001,0.125,PAIRED_REQUEST_HASH,100,16672213205494297130,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_new,nll_mean,100,100,-523.5210481830345,-5.235210481830345,-4.838796353433281,-8.405282861422165,-1.7559387863439042,6.649344075078261,-0.04152413541451088,0.6873650457710028,-13.4898369590519,-6.036847703924367,-4.503154409023285,PAIRED_REQUEST_HASH,100,3614075008956011183,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_new,margin_mean,100,100,878.88014793396,8.7888014793396,8.980670928955078,5.052973985671997,12.74582815170288,7.692854166030884,15.586869144439705,21.69462776184082,-5.791412353515625,7.734658063054085,9.911978934168815,PAIRED_REQUEST_HASH,100,9553013918761077017,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_new,strict_rate,100,100,72.0,0.72,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.63,0.81,PAIRED_REQUEST_HASH,100,5935806054082478624,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_new,nll_mean,100,100,-1440.3110668767476,-14.403110668767477,-12.762531835585833,-17.534969575703144,-10.135874450206757,7.3990951254963875,-5.981461286544796,0.7311887741088867,-45.44920041039586,-15.920105509431684,-12.986319660739015,PAIRED_REQUEST_HASH,100,4291572442496230137,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_new,margin_mean,100,100,1722.9848237037659,17.229848237037658,15.314295291900635,11.933692693710327,22.886727333068848,10.95303463935852,26.218899440765387,51.84674549102783,-2.270570755004883,15.540619718670845,19.092540300965307,PAIRED_REQUEST_HASH,100,10985796997288279443,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_new,strict_rate,100,100,64.0,0.64,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.55,0.72,PAIRED_REQUEST_HASH,100,4179860206804068686,2000
alphaedit:llama-minus-qwen:functional-10000:current:rewrite_target_new,nll_mean,100,100,-332.9385346333929,-3.3293853463339294,-1.163166238926351,-6.279368134099059,-0.07624246890190989,6.203125665197149,-0.0005109711433760513,1.7855599522590637,-16.218016856815666,-4.1892581855723785,-2.5278724823318197,PAIRED_REQUEST_HASH,100,946738427946545471,2000
alphaedit:llama-minus-qwen:functional-10000:current:rewrite_target_new,margin_mean,100,100,538.0239105224609,5.380239105224609,4.680984020233154,1.5654795169830322,8.913660287857056,7.348180770874023,12.146152734756475,21.697664260864258,-6.730447769165039,4.314587628245354,6.417205567479133,PAIRED_REQUEST_HASH,100,745542316712738080,2000
alphaedit:llama-minus-qwen:functional-10000:current:rewrite_target_new,strict_rate,100,100,35.0,0.35,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.25,0.45,PAIRED_REQUEST_HASH,100,7144816012413604390,2000
memit:llama-minus-qwen:functional-10000:current:rewrite_target_new,nll_mean,100,100,-1249.728553327106,-12.49728553327106,-11.36724716424942,-16.1589545160532,-7.777799487113953,8.381155028939247,-3.8024568557739253,3.732339859008789,-42.579639196395874,-14.031313480328159,-11.029449727921536,PAIRED_REQUEST_HASH,100,6782478422699445999,2000
memit:llama-minus-qwen:functional-10000:current:rewrite_target_new,margin_mean,100,100,1382.1285862922668,13.821285862922668,12.330270767211914,7.712819695472717,19.207683444023132,11.494863748550415,26.402306127548222,43.59318923950195,-3.8635740280151367,12.114452965736389,15.576732576370238,PAIRED_REQUEST_HASH,100,9479328325788592549,2000
memit:llama-minus-qwen:functional-10000:current:rewrite_target_new,strict_rate,100,100,27.0,0.27,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.19,0.36,PAIRED_REQUEST_HASH,100,10034719411761341728,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_true,nll_mean,100,100,271.11673521995544,2.7111673521995545,2.681529998779297,-0.5836188793182373,5.223459720611572,5.80707859992981,8.463442516326909,13.825356006622314,-7.0859503746032715,1.8899893917441368,3.5318987045288073,PAIRED_REQUEST_HASH,100,16835610951173882845,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_true,margin_mean,100,100,-428.28781509399414,-4.282878150939942,-4.191803455352783,-7.346297740936279,-0.8587496280670166,6.487548112869263,1.5644172668457053,7.7485246658325195,-15.920052528381348,-5.189515140295029,-3.347251488685608,PAIRED_REQUEST_HASH,100,6677104677395710949,2000
llama3-8b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_true,strict_rate,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,100,1997439898421744111,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_true,nll_mean,100,100,-563.030571937561,-5.6303057193756105,-4.373838424682617,-8.817497253417969,-1.8889520168304443,6.928545236587524,1.5031072616577175,6.446379661560059,-40.20540809631348,-7.014345120072365,-4.2355799953937545,PAIRED_REQUEST_HASH,100,8353819400799682627,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_true,margin_mean,100,100,606.36958360672,6.0636958360671995,5.626361131668091,1.0111863613128662,10.31266176700592,9.301475405693054,14.847214221954347,40.22702503204346,-8.921104431152344,4.597779185652733,7.652467541337013,PAIRED_REQUEST_HASH,100,6350658922070142766,2000
qwen2.5-7b-inst:alphaedit-minus-memit:functional-10000:current:rewrite_target_true,strict_rate,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,100,15971817077949653476,2000
alphaedit:llama-minus-qwen:functional-10000:current:rewrite_target_true,nll_mean,100,100,178.77322244644165,1.7877322244644165,1.574965000152588,-2.265252947807312,5.218063116073608,7.48331606388092,8.070728683471682,15.251683235168457,-8.132257461547852,0.8502216804027558,2.69492906653881,PAIRED_REQUEST_HASH,100,9370483260578528466,2000
alphaedit:llama-minus-qwen:functional-10000:current:rewrite_target_true,margin_mean,100,100,-337.09301233291626,-3.3709301233291624,-2.807908058166504,-7.088245868682861,0.9355175495147705,8.023763418197632,2.6491009712219324,8.136336326599121,-16.708861351013184,-4.4075811840295795,-2.3795862219333657,PAIRED_REQUEST_HASH,100,18155254847721485369,2000
alphaedit:llama-minus-qwen:functional-10000:current:rewrite_target_true,strict_rate,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PAIRED_REQUEST_HASH,100,12372555328644349301,2000
