source_table,model,method,accepted_edit_count,fork,layer,metric,availability,n,sum,mean,median,p25,p75,iqr,p90,max,min
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,6,update_magnitude_share,RECORDED,1,0.15916797024697757,0.15916797024697757,0.15916797024697757,0.15916797024697757,0.15916797024697757,0.0,0.15916797024697757,0.15916797024697757,0.15916797024697757
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,7,frobenius_magnitude,RECORDED,1,24.458844686149494,24.458844686149494,24.458844686149494,24.458844686149494,24.458844686149494,0.0,24.458844686149494,24.458844686149494,24.458844686149494
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,7,frobenius_squared_telemetry,RECORDED,1,598.2350833811834,598.2350833811834,598.2350833811834,598.2350833811834,598.2350833811834,0.0,598.2350833811834,598.2350833811834,598.2350833811834
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,7,relative_update_magnitude,RECORDED,1,0.13946233467973979,0.13946233467973979,0.13946233467973979,0.13946233467973979,0.13946233467973979,0.0,0.13946233467973979,0.13946233467973979,0.13946233467973979
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,7,update_magnitude_share,RECORDED,1,0.17741636593986876,0.17741636593986876,0.17741636593986876,0.17741636593986876,0.17741636593986876,0.0,0.17741636593986876,0.17741636593986876,0.17741636593986876
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,8,frobenius_magnitude,RECORDED,1,42.48567349174637,42.48567349174637,42.48567349174637,42.48567349174637,42.48567349174637,0.0,42.48567349174637,42.48567349174637,42.48567349174637
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,8,frobenius_squared_telemetry,RECORDED,1,1805.03245204728,1805.03245204728,1805.03245204728,1805.03245204728,1805.03245204728,0.0,1805.03245204728,1805.03245204728,1805.03245204728
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,8,relative_update_magnitude,RECORDED,1,0.16885424612916036,0.16885424612916036,0.16885424612916036,0.16885424612916036,0.16885424612916036,0.0,0.16885424612916036,0.16885424612916036,0.16885424612916036
checkpoint_weight,llama3-8b-inst,alphaedit,10000,ACCUMULATED_OR_STATIC,8,update_magnitude_share,RECORDED,1,0.3081770170314652,0.3081770170314652,0.3081770170314652,0.3081770170314652,0.3081770170314652,0.0,0.3081770170314652,0.3081770170314652,0.3081770170314652
checkpoint_weight,llama3-8b-inst,alphaedit,10000,RESET_CACHE,4,frobenius_magnitude,RECORDED,1,18.298297596144785,18.298297596144785,18.298297596144785,18.298297596144785,18.298297596144785,0.0,18.298297596144785,18.298297596144785,18.298297596144785
