arm,population,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator,status
REFIT4,W10_ALL1000,PS,1,2,50.0,0,0,0,2,9.234007358551025,9.234007358551025,12.251108264923095,12.628245878219603,12.929955968856811,5.4626312255859375,13.005383491516113,9.404502868652344,9.404502868652344,11.9634033203125,12.283265876770018,12.539155921936034,6.205877304077148,12.603128433227539,0.17049551010131836,0.17049551010131836,0.6286959648132324,0.6859710216522217,0.7317910671234131,-0.4022550582885742,0.7432460784912109,0,1,SUPERSEDED
REFIT4,W10_ALL1000,NS,8,10,80.0,0,1,1,10,7.29597088098526,7.540003776550293,10.990402317047119,11.490615415573119,11.890785894393922,1.9360166788101196,11.990828514099121,5.217517304420471,3.9529454708099365,11.255202293395996,11.584744930267334,11.848379039764405,1.667118787765503,11.914287567138672,2.078453576564789,2.169304132461548,5.007528376579284,5.339313662052154,5.604741890430451,-2.751592516899109,5.671098947525024,,,SUPERSEDED
REFIT4,W5_FIRST500,RS,500,500,100.0,0,500,507,507,0.00847540016469793,0.002974611474201083,0.017291864566504972,0.025499103125184754,0.0896938280761242,1.537788011773955e-05,0.6749916672706604,13.665489787101746,13.218687057495117,19.822138977050784,22.595261669158926,25.369403743743895,3.4272947311401367,29.67243003845215,13.657014386937048,13.207879866007715,19.821122354367983,22.594751113356313,25.369263227545307,3.365114249289036,29.671464909100905,,,ALL
REFIT4,W5_FIRST500,PS,951,1000,95.1,0,627,641,1014,1.6683649089256687,0.4729180932044983,4.945011615753174,7.204745101928711,10.056981239318844,4.2199197196168825e-05,13.106647491455078,9.585671481005848,9.434043884277344,14.73345365524292,16.77884397506714,21.614113674163818,0.07879588007926941,26.116559982299805,7.917306572080179,7.902638094499707,14.056258272822015,16.453678867593403,21.596177753154187,-6.925656318664551,26.112927842186764,224,500,ALL
REFIT4,W5_FIRST500,NS,4229,5000,84.58,0,950,1020,5070,9.985402710249584,9.87511920928955,14.792370796203615,16.272703361511233,19.629596157073983,4.458328112377785e-05,25.647342681884766,5.196511257522082,4.7486677169799805,10.464353847503665,12.098499155044557,15.496349163055438,0.0004408579843584448,22.59389305114746,4.788891452727501,4.75357061624527,10.89939606487751,12.469013024866582,15.759317735135559,-22.59359709828277,20.18992891907692,,,ALL
REFIT4,W5_FIRST500,RS,500,500,100.0,0,500,507,507,0.00847540016469793,0.002974611474201083,0.017291864566504972,0.025499103125184754,0.0896938280761242,1.537788011773955e-05,0.6749916672706604,13.665489787101746,13.218687057495117,19.822138977050784,22.595261669158926,25.369403743743895,3.4272947311401367,29.67243003845215,13.657014386937048,13.207879866007715,19.821122354367983,22.594751113356313,25.369263227545307,3.365114249289036,29.671464909100905,,,ACTIVE
REFIT4,W5_FIRST500,PS,951,1000,95.1,0,627,641,1014,1.6683649089256687,0.4729180932044983,4.945011615753174,7.204745101928711,10.056981239318844,4.2199197196168825e-05,13.106647491455078,9.585671481005848,9.434043884277344,14.73345365524292,16.77884397506714,21.614113674163818,0.07879588007926941,26.116559982299805,7.917306572080179,7.902638094499707,14.056258272822015,16.453678867593403,21.596177753154187,-6.925656318664551,26.112927842186764,224,500,ACTIVE
REFIT4,W5_FIRST500,NS,4229,5000,84.58,0,950,1020,5070,9.985402710249584,9.87511920928955,14.792370796203615,16.272703361511233,19.629596157073983,4.458328112377785e-05,25.647342681884766,5.196511257522082,4.7486677169799805,10.464353847503665,12.098499155044557,15.496349163055438,0.0004408579843584448,22.59389305114746,4.788891452727501,4.75357061624527,10.89939606487751,12.469013024866582,15.759317735135559,-22.59359709828277,20.18992891907692,,,ACTIVE
REFIT4,W10_FIRST500,RS,499,500,99.8,0,499,506,507,0.0482682783842647,0.00330824195407331,0.02395827695727349,0.043162350729107846,0.1556261943280696,1.537788011773955e-05,18.784740447998047,13.468412678718567,12.973941802978516,19.441012763977053,22.43683710098266,25.24566240310669,3.055992603302002,28.709373474121094,13.420144400334301,12.933835029471084,19.44001258736826,22.434449895820574,25.24523872666148,-0.8379993438720703,28.708381191594526,,,ALL
REFIT4,W10_FIRST500,PS,949,1000,94.9,0,639,653,1014,1.6544623879058018,0.4654427021741867,4.963118410110476,7.146009111404418,10.0988403224945,4.6967357775429264e-05,13.005383491516113,9.551469178214669,9.396995067596436,14.833788871765137,16.842940521240234,21.296804428100586,0.08525654673576355,27.175376892089844,7.897006790308867,7.706573903560638,14.117188766505569,16.573233772069212,21.141433371701275,-9.121888399124146,27.17232098686509,226,500,ALL
