arm,batch,state,metric,numerator,denominator,percent,ties,desired_TF_strict,desired_token_correct,desired_token_count,new_nll_mean,new_nll_median,new_nll_p90,new_nll_p95,new_nll_p99,new_nll_min,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_p95,true_nll_p99,true_nll_min,true_nll_max,desired_margin_mean,desired_margin_median,desired_margin_p90,desired_margin_p95,desired_margin_p99,desired_margin_min,desired_margin_max,two_P_strict,two_P_denominator
L75,7,entry,NS,870,1000,87.0,0,260,270,1010,10.17957213062048,10.11260461807251,14.899686241149903,16.409918212890624,18.71726613998413,0.5491198301315308,23.78177261352539,4.547608719922602,3.848407745361328,10.050671768188476,11.80699129104614,15.575375223159789,0.002288105897605419,19.903278350830078,5.631963410697877,5.7498942613601685,11.737603725120426,13.041078150272364,17.173314091861247,-11.710178136825562,18.996152490377426,,
L75,7,entry,PS,23,200,11.5,0,2,4,202,9.392354381680489,9.71997594833374,13.421029376983642,15.760540056228633,17.614795589447002,0.4979957342147827,22.40409278869629,3.8181228991923852,3.2129794359207153,8.590361785888671,9.861728096008301,11.111456785202025,0.013556796126067638,12.574590682983398,-5.574231482488103,-5.511806845664978,0.3210744857788079,1.3171399831771793,2.333319976329801,-22.367353942245245,2.83760929107666,0,100
L75,7,entry,RS,10,100,10.0,0,1,2,101,10.235760263204575,10.0127272605896,15.23591890335083,16.85318622589111,18.57963220596315,1.3367005586624146,21.594491958618164,3.810327811119132,3.2588695287704468,8.377980041503914,10.106796073913573,15.711298484802246,4.5298504119273275e-05,15.715690612792969,-6.425432452085443,-5.910907864570618,-0.17178621292113905,1.3753285408020004,2.743792269229901,-21.594446660114045,5.107815742492676,,
L75,7,selected,NS,853,1000,85.3,0,254,264,1010,9.854032189712859,9.844240188598633,14.784567642211915,16.505546283721923,18.63521160125732,0.013302856124937534,22.882841110229492,4.632662419525906,3.958138942718506,10.134072303771973,11.868534564971922,15.429097280502319,0.0020009512081742287,19.290605545043945,5.2213697701869535,5.186709642410278,11.425635021924974,13.135084901750087,16.736387190520762,-12.756597465835512,22.875745377503335,,
L75,7,selected,PS,193,200,96.5,0,147,149,202,1.5823718310948742,0.18408606201410294,6.168273830413818,7.525135898590074,9.525147361755367,9.059865078597795e-06,12.62822151184082,9.836533768884838,9.637240886688232,15.067067050933838,16.450100803375243,19.975346660613994,0.10014381259679794,24.36525535583496,8.254161937789963,8.087274551391602,14.552264344529249,16.14289924607146,19.964968087030964,-9.282855607569218,24.36414660909213,58,100
L75,7,selected,RS,100,100,100.0,0,100,101,101,0.0074788174611239815,0.003252259222790599,0.018107631243765382,0.035080301947891704,0.07336195059120655,2.992108420585282e-05,0.07458588480949402,13.78188653945923,13.533764362335205,19.00284442901612,20.267817878723143,24.65305892944337,2.8343300819396973,27.108375549316406,13.774407721998104,13.531367328745546,19.002758506823017,20.265115624730242,24.652149416834302,2.7609804943203926,27.10805540441652,,
L75,8,entry,NS,866,1000,86.6,0,214,214,1000,10.083142942197622,9.95412540435791,15.210329246520997,16.29994945526123,18.258723716735837,0.035074152052402496,23.085020065307617,4.923532466067467,4.298632383346558,10.24726219177246,12.008500146865845,14.311616897583006,0.006265639793127775,20.081829071044922,5.159610476130154,5.011363506317139,11.541653442382813,13.170660376548765,15.750508330464362,-12.554814338684082,18.234984159469604,,
L75,8,entry,PS,24,200,12.0,0,3,7,204,9.38242213845253,9.204707622528076,14.15798635482788,14.912346839904783,17.483727893829343,1.1257587671279907,20.078641891479492,4.565349807112943,4.161970853805542,9.219383716583252,10.749366283416746,13.816314439773553,0.00510946661233902,16.390838623046875,-4.8170723313395865,-4.568991422653198,0.2574905395507804,2.550509142875666,5.44631811857223,-17.21610951423645,6.29164981842041,0,100
L75,8,entry,RS,9,100,9.0,0,1,3,102,10.032094714641572,9.801966667175293,14.394125080108644,15.642690706253052,17.111841163635265,0.9035046100616455,19.06261444091797,4.762770835831762,4.291569471359253,8.912223148345948,10.271935224533081,13.914841432571414,0.047411903738975525,14.475165367126465,-5.26932387880981,-5.718750476837158,-0.058314371109008306,0.4383620023727392,2.70784351348878,-16.75279051065445,4.7306318283081055,,
L75,8,selected,NS,846,1000,84.6,0,201,201,1000,9.776540316843194,9.723604202270508,15.07428674697876,16.16839666366577,18.01601438522339,0.003339311806485057,23.34555435180664,5.0248216128610075,4.490339040756226,10.613173294067385,12.068983793258665,14.447882051467893,0.005453826859593391,20.233564376831055,4.7517187039821875,4.695394217967987,11.317106199264527,12.931545293331146,15.793997394479812,-15.49454353749752,17.88675022125244,,
