state,family,variant,edits,task,branch,label,support,predicted,tp,fp,fn,f1
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,generation,1,25,16,11,5,14,0.5365853658536586
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,generation,2,25,21,9,12,16,0.391304347826087
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,generation,3,25,15,8,7,17,0.4
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,alternative,0,25,24,13,11,12,0.5306122448979592
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,alternative,1,25,26,14,12,11,0.5490196078431373
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,alternative,2,25,25,13,12,12,0.52
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,alternative,3,25,25,14,11,11,0.56
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,nli,generation,0,50,58,36,22,14,0.6666666666666666
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,nli,generation,1,50,42,28,14,22,0.6086956521739131
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,nli,alternative,0,50,56,34,22,16,0.6415094339622641
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,nli,alternative,1,50,44,28,16,22,0.5957446808510638
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,sst2,generation,-1,0,24,0,24,0,0.0
