L2_velocity_action,W_sha256,actual_net_DeltaW_squared,actual_nonzero,actual_step_DeltaW_squared,alias,arm,batch,coefficient,direction_frobenius_squared,direction_raw_action,frobenius_sq,frobenius_velocity_squared,history_action_computation,history_velocity_action,kind,layer,materialized_nonzero,native_raw,node,normalized_native_velocity_action,parameter_elements,q,raw_coefficient,raw_native_velocity_action,state_version
,dc96112ac57d61633298386c7826a5b17fd5bbd7e477a064488d2861fdabcc6c,,,,qwen2.5-7b-inst,O_NATIVE,10,,,,1250.4877490276667,,,,actual_endpoint_net_FP32,4,67895286,4860.094757379475,,,67895296,,,,
,dc96112ac57d61633298386c7826a5b17fd5bbd7e477a064488d2861fdabcc6c,,,,qwen2.5-7b-inst,O_NATIVE,10,,,,1095.2460350524802,,,,actual_endpoint_net_FP32,5,67895282,1098.368871161186,,,67895296,,,,
,dc96112ac57d61633298386c7826a5b17fd5bbd7e477a064488d2861fdabcc6c,,,,qwen2.5-7b-inst,O_NATIVE,10,,,,550.748428304862,,,,actual_endpoint_net_FP32,6,67895285,551.2808116335227,,,67895296,,,,
,dc96112ac57d61633298386c7826a5b17fd5bbd7e477a064488d2861fdabcc6c,,,,qwen2.5-7b-inst,O_NATIVE,10,,,,1043.065826395075,,,,actual_endpoint_net_FP32,7,67895293,1044.0039806691755,,,67895296,,,,
,dc96112ac57d61633298386c7826a5b17fd5bbd7e477a064488d2861fdabcc6c,,,,qwen2.5-7b-inst,O_NATIVE,10,,,,1531.312441823842,,,,actual_endpoint_net_FP32,8,67895286,1532.1097053278374,,,67895296,,,,
,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,,,,4.7524484398532795e-06,,,,actual_endpoint_net_FP32,4,58654231,4.7524484398532795e-06,,,58720256,,,,
,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,,,,0.00015513958899776348,,,,actual_endpoint_net_FP32,5,58708311,0.00015513958899776348,,,58720256,,,,
,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,,,,0.0008182207941423346,,,,actual_endpoint_net_FP32,6,58714907,0.0008182207941423346,,,58720256,,,,
,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,,,,0.12436782899866652,,,,actual_endpoint_net_FP32,7,58719804,0.12436782899866652,,,58720256,,,,
,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,,,,148.35597562292344,,,,actual_endpoint_net_FP32,8,58720242,148.35597562292344,,,58720256,,,,
0.0,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,0.0,223.11188960519476,223.11188960519476,,0.0,raw_native_action_minus_L2_frobenius_action,0.0,velocity_action,4,,,0,0.0,,0.26554139227555235,0.0,0.0,0
0.00017522705000295742,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,,,,llama3-8b-inst,JV_NATIVE,1,0.00045667299591800603,166.6158797751808,166.6158797751808,,0.00017522705000295742,raw_native_action_minus_L2_frobenius_action,0.0,velocity_action,5,,,0,2.0855022520072716e-07,,0.19830145658758036,0.0010255158556600253,0.00017522705000295742,0
